Daily Observed Min/Max Temperature & Precipitation,,,,
,Seattle WA - KSEA,,,
Date,Min,Max,Avg,Precip
21-Jan-15,31,45,38,-
22-Jan-15,43,49,46,0.02
23-Jan-15,47,54,50.5,0.24
24-Jan-15,52,58,55,0.01
25-Jan-15,45,63,54,-
26-Jan-15,43,61,52,-
27-Jan-15,47,52,49.5,0.03
28-Jan-15,41,54,47.5,-
29-Jan-15,38,54,46,-
30-Jan-15,34,47,40.5,-
31-Jan-15,38,45,41.5,-
1-Feb-15,40,49,44.5,0.06
2-Feb-15,41,52,46.5,0.29
3-Feb-15,42,50,46,0.05
4-Feb-15,40,51,45.5,0.32
5-Feb-15,47,56,51.5,1.04
6-Feb-15,50,58,54,0.68
7-Feb-15,49,54,51.5,0.93
8-Feb-15,47,59,53,0.14
9-Feb-15,47,56,51.5,0.24
10-Feb-15,47,55,51,0.01
11-Feb-15,42,55,48.5,-
12-Feb-15,49,62,55.5,0.04
13-Feb-15,44,60,52,-
14-Feb-15,44,58,51,0.01
15-Feb-15,39,54,46.5,-
16-Feb-15,42,59,50.5,-
17-Feb-15,40,61,50.5,-
18-Feb-15,40,54,47,-
19-Feb-15,47,51,49,0.18
20-Feb-15,45,52,48.5,0.03
21-Feb-15,42,54,48,-
22-Feb-15,38,53,45.5,-
23-Feb-15,33,55,44,-
24-Feb-15,36,52,44,-
25-Feb-15,44,50,47,0.16
26-Feb-15,46,53,49.5,0.36
27-Feb-15,44,50,47,0.6
28-Feb-15,38,54,46,-
1-Mar-15,34,52,43,-
2-Mar-15,40,52,46,-
3-Mar-15,32,51,41.5,-
4-Mar-15,31,55,43,-
5-Mar-15,37,56,46.5,-
6-Mar-15,38,59,48.5,-
7-Mar-15,39,62,50.5,-
8-Mar-15,39,63,51,-
9-Mar-15,40,58,49,-
10-Mar-15,41,56,48.5,0.02
11-Mar-15,48,58,53,0.11
12-Mar-15,49,64,56.5,-
13-Mar-15,46,63,54.5,0.03
14-Mar-15,50,57,53.5,0.72
15-Mar-15,43,51,47,2.13
16-Mar-15,43,57,50,0.04
17-Mar-15,40,56,48,0.03
18-Mar-15,45,60,52.5,-
19-Mar-15,47,60,53.5,-
20-Mar-15,48,57,52.5,0.16
21-Mar-15,47,56,51.5,0.15
22-Mar-15,43,53,48,0.04
23-Mar-15,42,52,47,0.3
24-Mar-15,43,55,49,0.25
25-Mar-15,45,58,51.5,0.22
26-Mar-15,50,69,59.5,-
27-Mar-15,48,71,59.5,0.04
28-Mar-15,49,60,54.5,-
29-Mar-15,48,60,54,-
30-Mar-15,51,64,57.5,0.03
31-Mar-15,43,55,49,0.08
1-Apr-15,42,55,48.5,0.2
2-Apr-15,42,56,49,-
3-Apr-15,41,52,46.5,0.06
4-Apr-15,39,55,47,-
5-Apr-15,37,62,49.5,-
6-Apr-15,44,57,50.5,0.04
7-Apr-15,44,58,51,0.02
8-Apr-15,43,63,53,-
9-Apr-15,43,63,53,-
10-Apr-15,46,57,51.5,0.42
11-Apr-15,42,53,47.5,0.01
12-Apr-15,42,56,49,-
13-Apr-15,39,53,46,0.55
14-Apr-15,37,53,45,0.13
15-Apr-15,38,57,47.5,-
16-Apr-15,39,64,51.5,-
17-Apr-15,43,66,54.5,-
18-Apr-15,47,66,56.5,-
19-Apr-15,47,70,58.5,-
20-Apr-15,46,73,59.5,-
21-Apr-15,44,63,53.5,0.22
22-Apr-15,41,60,50.5,-
23-Apr-15,44,54,49,0.12
24-Apr-15,43,54,48.5,0.13
25-Apr-15,42,56,49,0.05
26-Apr-15,40,60,50,-
27-Apr-15,51,77,64,0.01
28-Apr-15,48,60,54,0.07
29-Apr-15,45,61,53,-
30-Apr-15,46,63,54.5,-
1-May-15,48,65,56.5,-
2-May-15,46,65,55.5,-
3-May-15,46,69,57.5,-
4-May-15,45,63,54,-
5-May-15,45,58,51.5,0.24
6-May-15,45,62,53.5,-
7-May-15,43,69,56,-
8-May-15,47,75,61,-
9-May-15,49,80,64.5,-
10-May-15,52,67,59.5,-
11-May-15,50,57,53.5,0.01
12-May-15,51,60,55.5,0.16
13-May-15,50,54,52,0.17
14-May-15,49,64,56.5,0.01
15-May-15,49,68,58.5,-
16-May-15,52,60,56,-
17-May-15,51,67,59,-
18-May-15,54,78,66,-
19-May-15,53,71,62,-
20-May-15,51,74,62.5,-
21-May-15,53,78,65.5,-
22-May-15,53,62,57.5,-
23-May-15,53,61,57,-
24-May-15,52,64,58,-
25-May-15,52,60,56,-
26-May-15,53,71,62,-
27-May-15,53,76,64.5,-
28-May-15,54,82,68,-
29-May-15,50,79,64.5,-
30-May-15,50,73,61.5,-
31-May-15,53,77,65,-
1-Jun-15,53,64,58.5,0.18
2-Jun-15,53,64,58.5,0.02
3-Jun-15,53,68,60.5,-
4-Jun-15,53,73,63,-
5-Jun-15,55,80,67.5,-
6-Jun-15,56,85,70.5,-
7-Jun-15,60,88,74,-
8-Jun-15,58,87,72.5,-
9-Jun-15,52,84,68,-
10-Jun-15,52,78,65,-
11-Jun-15,52,76,64,-
12-Jun-15,53,68,60.5,-
13-Jun-15,49,75,62,-
14-Jun-15,53,82,67.5,-
15-Jun-15,61,86,73.5,-
16-Jun-15,52,72,62,-
17-Jun-15,52,77,64.5,-
18-Jun-15,57,76,66.5,-
19-Jun-15,56,75,65.5,0.02
20-Jun-15,55,77,66,-
21-Jun-15,57,78,67.5,-
22-Jun-15,55,77,66,-
23-Jun-15,53,79,66,-
24-Jun-15,61,78,69.5,-
25-Jun-15,60,87,73.5,-
26-Jun-15,64,89,76.5,-
27-Jun-15,63,92,77.5,-
28-Jun-15,65,83,74,0.01
29-Jun-15,63,84,73.5,-
30-Jun-15,59,87,73,-
1-Jul-15,63,90,76.5,-
2-Jul-15,64,93,78.5,-
3-Jul-15,64,92,78,-
4-Jul-15,59,92,75.5,-
5-Jul-15,62,91,76.5,-
6-Jul-15,60,85,72.5,-
7-Jul-15,57,81,69,-
8-Jul-15,58,86,72,-
9-Jul-15,58,84,71,-
10-Jul-15,62,70,66,-
11-Jul-15,62,72,67,-
12-Jul-15,62,79,70.5,-
13-Jul-15,61,78,69.5,-
14-Jul-15,61,82,71.5,-
15-Jul-15,58,79,68.5,-
16-Jul-15,59,79,69,-
17-Jul-15,57,82,69.5,-
18-Jul-15,64,92,78,-
19-Jul-15,63,95,79,-
20-Jul-15,62,80,71,-
21-Jul-15,59,75,67,-
22-Jul-15,57,75,66,-
23-Jul-15,58,79,68.5,-
24-Jul-15,56,73,64.5,-
25-Jul-15,58,70,64,0.01
26-Jul-15,57,72,64.5,0.08
27-Jul-15,54,74,64,-
28-Jul-15,57,82,69.5,-
29-Jul-15,58,90,74,-
30-Jul-15,63,94,78.5,-
31-Jul-15,64,94,79,-
1-Aug-15,60,92,76,-
2-Aug-15,61,87,74,-
3-Aug-15,63,83,73,-
4-Aug-15,58,79,68.5,-
5-Aug-15,54,74,64,-
6-Aug-15,59,77,68,-
7-Aug-15,60,83,71.5,-
8-Aug-15,60,77,68.5,-
9-Aug-15,59,83,71,-
10-Aug-15,61,84,72.5,-
11-Aug-15,62,86,74,-
12-Aug-15,62,83,72.5,0.3
13-Aug-15,60,83,71.5,-
14-Aug-15,59,65,62,1.2
15-Aug-15,57,71,64,-
16-Aug-15,58,77,67.5,-
17-Aug-15,57,81,69,-
18-Aug-15,59,86,72.5,-
19-Aug-15,61,89,75,-
20-Aug-15,58,73,65.5,0.08
21-Aug-15,58,72,65,-
22-Aug-15,54,80,67,-
23-Aug-15,57,82,69.5,-
24-Aug-15,54,75,64.5,-
25-Aug-15,54,78,66,-
26-Aug-15,57,83,70,-
27-Aug-15,58,85,71.5,-
28-Aug-15,60,74,67,0.02
29-Aug-15,56,72,64,1.12
30-Aug-15,55,68,61.5,0.56
31-Aug-15,61,66,63.5,-
1-Sep-15,57,67,62,0.22
2-Sep-15,52,67,59.5,0.01
3-Sep-15,51,65,58,-
4-Sep-15,50,65,57.5,-
5-Sep-15,48,69,58.5,0.01
6-Sep-15,53,61,57,0.19
7-Sep-15,56,70,63,0.02
8-Sep-15,56,73,64.5,-
9-Sep-15,57,76,66.5,-
10-Sep-15,58,77,67.5,-
11-Sep-15,59,81,70,-
12-Sep-15,58,80,69,-
13-Sep-15,55,69,62,0.02
14-Sep-15,51,62,56.5,-
15-Sep-15,50,64,57,-
16-Sep-15,50,68,59,0.04
17-Sep-15,55,65,60,0.07
18-Sep-15,55,67,61,-
19-Sep-15,58,70,64,-
20-Sep-15,54,73,63.5,0.16
21-Sep-15,49,65,57,-
22-Sep-15,46,66,56,-
23-Sep-15,47,69,58,-
24-Sep-15,52,72,62,-
25-Sep-15,55,60,57.5,0.08
26-Sep-15,50,65,57.5,-
27-Sep-15,45,64,54.5,-
28-Sep-15,49,70,59.5,-
29-Sep-15,48,71,59.5,-
30-Sep-15,50,65,57.5,-
1-Oct-15,49,70,59.5,-
2-Oct-15,50,60,55,-
3-Oct-15,52,67,59.5,-
4-Oct-15,50,73,61.5,-
5-Oct-15,49,74,61.5,-
6-Oct-15,50,65,57.5,-
7-Oct-15,57,61,59,0.38
8-Oct-15,56,66,61,-
9-Oct-15,54,67,60.5,0.01
10-Oct-15,56,70,63,1.13
11-Oct-15,51,64,57.5,-
12-Oct-15,51,65,58,0.14
13-Oct-15,49,62,55.5,0.09
14-Oct-15,50,59,54.5,-
15-Oct-15,49,70,59.5,-
16-Oct-15,48,68,58,-
17-Oct-15,53,67,60,0.01
18-Oct-15,55,59,57,0.15
19-Oct-15,54,63,58.5,0.01
20-Oct-15,51,64,57.5,-
21-Oct-15,47,61,54,-
22-Oct-15,48,61,54.5,-
23-Oct-15,45,55,50,-
24-Oct-15,48,59,53.5,-
25-Oct-15,48,67,57.5,0.35
26-Oct-15,50,54,52,0.27
27-Oct-15,46,61,53.5,-
28-Oct-15,52,57,54.5,0.13
29-Oct-15,54,59,56.5,0.07
30-Oct-15,53,63,58,0.42
31-Oct-15,53,60,56.5,1.35
1-Nov-15,48,54,51,1.06
2-Nov-15,45,52,48.5,0.01
3-Nov-15,41,51,46,0.03
4-Nov-15,38,50,44,-
5-Nov-15,46,53,49.5,0.05
6-Nov-15,47,60,53.5,-
7-Nov-15,49,54,51.5,0.5
8-Nov-15,46,52,49,0.27
9-Nov-15,41,50,45.5,0.13
10-Nov-15,39,52,45.5,0.03
11-Nov-15,43,52,47.5,0.02
12-Nov-15,41,52,46.5,0.38
13-Nov-15,49,56,52.5,1.33
14-Nov-15,43,49,46,1.84
15-Nov-15,36,48,42,0.78
16-Nov-15,35,48,41.5,0.08
17-Nov-15,44,56,50,1.16
18-Nov-15,38,48,43,0.06
19-Nov-15,37,48,42.5,0.08
20-Nov-15,33,47,40,-
21-Nov-15,33,48,40.5,-
22-Nov-15,35,50,42.5,-
23-Nov-15,32,44,38,0.12
24-Nov-15,37,44,40.5,0.28
25-Nov-15,32,45,38.5,-
26-Nov-15,30,49,39.5,-
27-Nov-15,29,49,39,-
28-Nov-15,27,45,36,-
29-Nov-15,28,35,31.5,-
30-Nov-15,25,42,33.5,0.02
1-Dec-15,39,50,44.5,0.48
2-Dec-15,40,51,45.5,0.06
3-Dec-15,46,60,53,0.52
4-Dec-15,43,51,47,0.08
5-Dec-15,43,50,46.5,0.62
6-Dec-15,45,55,50,0.44
7-Dec-15,47,52,49.5,1.06
8-Dec-15,50,60,55,2.12
9-Dec-15,46,54,50,0.41
10-Dec-15,43,53,48,0.37
11-Dec-15,40,49,44.5,0.01
12-Dec-15,42,48,45,0.63
13-Dec-15,43,46,44.5,0.05
14-Dec-15,35,46,40.5,-
15-Dec-15,34,44,39,0.05
16-Dec-15,37,43,40,0.15
17-Dec-15,39,44,41.5,0.8
18-Dec-15,40,48,44,0.64
19-Dec-15,37,47,42,-
20-Dec-15,40,46,43,0.16
21-Dec-15,37,42,39.5,1.08
22-Dec-15,37,46,41.5,0.18
23-Dec-15,37,41,39,0.24
24-Dec-15,36,42,39,0.1
25-Dec-15,36,41,38.5,0.23
26-Dec-15,32,40,36,-
27-Dec-15,35,40,37.5,0.34
28-Dec-15,35,41,38,0.06
29-Dec-15,33,45,39,-
30-Dec-15,30,42,36,-
31-Dec-15,28,42,35,-
1-Jan-16,28,46,37,-
2-Jan-16,25,42,33.5,-
3-Jan-16,31,40,35.5,0.02
4-Jan-16,35,38,36.5,0.15
5-Jan-16,36,46,41,0.11
6-Jan-16,37,53,45,-
7-Jan-16,34,44,39,-
8-Jan-16,36,48,42,-
9-Jan-16,30,49,39.5,-
10-Jan-16,38,52,45,-
11-Jan-16,35,47,41,0.16
12-Jan-16,40,48,44,0.51
13-Jan-16,41,54,47.5,0.76
14-Jan-16,36,48,42,-
15-Jan-16,33,47,40,0.05
16-Jan-16,42,52,47,0.4
17-Jan-16,43,49,46,0.33
18-Jan-16,43,52,47.5,0.06
19-Jan-16,42,47,44.5,0.49
20-Jan-16,40,50,45,0.27
21-Jan-16,45,53,49,1.15
22-Jan-16,44,55,49.5,0.26
23-Jan-16,43,46,44.5,0.77
24-Jan-16,37,50,43.5,-
25-Jan-16,38,55,46.5,-
26-Jan-16,46,56,51,0.3
27-Jan-16,49,58,53.5,0.82
28-Jan-16,46,56,51,0.61
29-Jan-16,41,49,45,0.19
30-Jan-16,38,46,42,0.05
31-Jan-16,37,45,41,-
1-Feb-16,38,45,41.5,0.01
2-Feb-16,35,50,42.5,0.01
3-Feb-16,39,47,43,0.51
4-Feb-16,42,49,45.5,0.26
5-Feb-16,39,52,45.5,0.14
6-Feb-16,39,48,43.5,-
7-Feb-16,34,52,43,-
8-Feb-16,39,59,49,-
9-Feb-16,38,63,50.5,-
10-Feb-16,46,56,51,0.13
11-Feb-16,45,55,50,0.45
12-Feb-16,47,57,52,0.34
13-Feb-16,43,50,46.5,0.46
14-Feb-16,47,53,50,0.15
15-Feb-16,49,54,51.5,0.46
16-Feb-16,48,54,51,-
17-Feb-16,47,63,55,0.47
18-Feb-16,44,51,47.5,0.12
19-Feb-16,39,50,44.5,0.4
20-Feb-16,38,51,44.5,-
21-Feb-16,35,50,42.5,0.05
22-Feb-16,36,51,43.5,0.17
23-Feb-16,34,58,46,-
24-Feb-16,43,57,50,0.02
25-Feb-16,39,62,50.5,-
26-Feb-16,44,57,50.5,0.17
27-Feb-16,47,56,51.5,0.13
28-Feb-16,40,50,45,0.82
29-Feb-16,42,53,47.5,0.09
1-Mar-16,43,57,50,0.7
2-Mar-16,45,54,49.5,0.24
3-Mar-16,48,58,53,0.03
4-Mar-16,42,55,48.5,0.16
5-Mar-16,47,64,55.5,0.19
6-Mar-16,43,59,51,0.16
7-Mar-16,40,51,45.5,0.2
8-Mar-16,39,53,46,0.12
9-Mar-16,42,55,48.5,0.95
10-Mar-16,42,55,48.5,0.23
11-Mar-16,36,60,48,0.28
12-Mar-16,40,50,45,0.15
13-Mar-16,39,54,46.5,0.54
14-Mar-16,39,47,43,0.28
15-Mar-16,38,50,44,-
16-Mar-16,39,53,46,-
17-Mar-16,34,57,45.5,-
18-Mar-16,47,63,55,-
19-Mar-16,50,61,55.5,-
20-Mar-16,48,54,51,0.16
21-Mar-16,47,55,51,0.35
22-Mar-16,44,55,49.5,-
23-Mar-16,45,51,48,0.23
24-Mar-16,43,52,47.5,-
25-Mar-16,43,56,49.5,-
26-Mar-16,42,58,50,0.04
27-Mar-16,40,55,47.5,0.19
28-Mar-16,38,55,46.5,-
29-Mar-16,40,63,51.5,-
30-Mar-16,42,68,55,-
31-Mar-16,47,71,59,-
1-Apr-16,48,71,59.5,-
2-Apr-16,46,62,54,-
3-Apr-16,45,68,56.5,0.1
4-Apr-16,45,58,51.5,0.09
5-Apr-16,44,56,50,-
6-Apr-16,44,69,56.5,-
7-Apr-16,50,78,64,-
8-Apr-16,50,76,63,-
9-Apr-16,47,64,55.5,-
10-Apr-16,46,58,52,-
11-Apr-16,48,58,53,-
12-Apr-16,44,57,50.5,0.32
13-Apr-16,44,58,51,0.01
14-Apr-16,44,59,51.5,0.24
15-Apr-16,47,59,53,-
16-Apr-16,44,67,55.5,-
17-Apr-16,48,80,64,-
18-Apr-16,54,89,71.5,-
19-Apr-16,56,84,70,-
20-Apr-16,53,81,67,-
21-Apr-16,51,72,61.5,-
22-Apr-16,52,62,57,-
23-Apr-16,51,64,57.5,0.01
24-Apr-16,46,55,50.5,0.3
25-Apr-16,44,59,51.5,0.11
26-Apr-16,43,59,51,-
27-Apr-16,48,63,55.5,-
28-Apr-16,50,63,56.5,-
29-Apr-16,48,61,54.5,0.01
30-Apr-16,45,67,56,-
1-May-16,50,79,64.5,-
2-May-16,54,87,70.5,-
3-May-16,56,72,64,-
4-May-16,52,60,56,-
5-May-16,48,68,58,-
6-May-16,50,77,63.5,-
7-May-16,52,82,67,-
8-May-16,48,66,57,0.03
9-May-16,46,67,56.5,-
10-May-16,47,75,61,-
11-May-16,52,80,66,-
12-May-16,49,76,62.5,-
13-May-16,50,84,67,-
14-May-16,53,58,55.5,0.01
15-May-16,52,56,54,0.03
16-May-16,50,59,54.5,0.06
17-May-16,51,69,60,-
18-May-16,51,65,58,-
19-May-16,48,63,55.5,0.47
20-May-16,49,66,57.5,-
21-May-16,50,58,54,0.21
22-May-16,52,66,59,-
23-May-16,53,66,59.5,-
24-May-16,55,66,60.5,-
25-May-16,53,65,59,-
26-May-16,51,62,56.5,-
27-May-16,49,64,56.5,-
28-May-16,49,62,55.5,0.1
29-May-16,52,64,58,-
30-May-16,48,72,60,-
31-May-16,52,80,66,-
1-Jun-16,55,74,64.5,0.01
2-Jun-16,58,70,64,0.04
3-Jun-16,56,82,69,-
4-Jun-16,62,85,73.5,-
5-Jun-16,64,93,78.5,-
6-Jun-16,62,88,75,-
7-Jun-16,59,84,71.5,-
8-Jun-16,55,67,61,0.01
9-Jun-16,51,64,57.5,0.12
10-Jun-16,49,65,57,0.19
11-Jun-16,50,67,58.5,-
12-Jun-16,53,70,61.5,-
13-Jun-16,49,65,57,-
14-Jun-16,47,60,53.5,0.02
15-Jun-16,44,66,55,-
16-Jun-16,51,70,60.5,-
17-Jun-16,50,69,59.5,0.08
18-Jun-16,52,66,59,0.06
19-Jun-16,48,72,60,-
20-Jun-16,56,75,65.5,0.54
21-Jun-16,54,71,62.5,0.01
22-Jun-16,55,75,65,-
23-Jun-16,53,68,60.5,0.17
24-Jun-16,52,69,60.5,0.11
25-Jun-16,56,72,64,-
26-Jun-16,56,80,68,-
27-Jun-16,58,85,71.5,-
28-Jun-16,54,76,65,-
29-Jun-16,55,72,63.5,-
30-Jun-16,55,73,64,-
1-Jul-16,55,75,65,-
2-Jul-16,57,75,66,-
3-Jul-16,56,71,63.5,-
4-Jul-16,56,69,62.5,-
5-Jul-16,55,67,61,-
6-Jul-16,56,76,66,0.01
7-Jul-16,58,68,63,0.09
8-Jul-16,58,72,65,0.18
9-Jul-16,56,71,63.5,0.08
10-Jul-16,56,73,64.5,-
11-Jul-16,57,73,65,-
12-Jul-16,59,76,67.5,-
13-Jul-16,57,74,65.5,-
14-Jul-16,57,76,66.5,-
15-Jul-16,56,76,66,-
16-Jul-16,57,73,65,-
17-Jul-16,58,79,68.5,-
18-Jul-16,60,71,65.5,0.01
19-Jul-16,60,77,68.5,-
20-Jul-16,60,80,70,-
21-Jul-16,58,84,71,-
22-Jul-16,59,73,66,0.33
23-Jul-16,58,73,65.5,-
24-Jul-16,58,81,69.5,-
25-Jul-16,59,86,72.5,-
26-Jul-16,59,78,68.5,-
27-Jul-16,56,84,70,-
28-Jul-16,61,88,74.5,-
29-Jul-16,62,89,75.5,-
30-Jul-16,57,75,66,-
31-Jul-16,56,72,64,-
1-Aug-16,53,77,65,-
2-Aug-16,57,71,64,0.13
3-Aug-16,58,76,67,-
4-Aug-16,56,82,69,-
5-Aug-16,57,79,68,-
6-Aug-16,54,71,62.5,-
7-Aug-16,57,69,63,0.03
8-Aug-16,56,73,64.5,-
9-Aug-16,58,71,64.5,-
10-Aug-16,58,76,67,-
11-Aug-16,58,81,69.5,-
12-Aug-16,63,90,76.5,-
13-Aug-16,64,91,77.5,-
14-Aug-16,57,85,71,-
15-Aug-16,57,83,70,-
16-Aug-16,56,83,69.5,-
17-Aug-16,56,80,68,-
18-Aug-16,60,87,73.5,-
19-Aug-16,69,95,82,-
20-Aug-16,62,91,76.5,-
21-Aug-16,57,73,65,-
22-Aug-16,55,72,63.5,-
23-Aug-16,54,80,67,-
24-Aug-16,58,85,71.5,-
25-Aug-16,61,91,76,-
26-Aug-16,64,92,78,-
27-Aug-16,58,73,65.5,-
28-Aug-16,55,70,62.5,-
29-Aug-16,53,79,66,-
30-Aug-16,56,71,63.5,-
31-Aug-16,58,69,63.5,0.01
1-Sep-16,56,66,61,0.15
2-Sep-16,55,69,62,0.07
3-Sep-16,54,69,61.5,-
4-Sep-16,51,70,60.5,-
5-Sep-16,54,64,59,0.01
6-Sep-16,55,65,60,0.42
7-Sep-16,57,66,61.5,0.04
8-Sep-16,55,70,62.5,0.03
9-Sep-16,50,73,61.5,-
10-Sep-16,54,77,65.5,-
11-Sep-16,55,70,62.5,-
12-Sep-16,54,75,64.5,-
13-Sep-16,51,77,64,-
14-Sep-16,51,78,64.5,-
15-Sep-16,52,72,62,-
16-Sep-16,52,74,63,-
17-Sep-16,57,67,62,0.22
18-Sep-16,54,68,61,-
19-Sep-16,53,68,60.5,0.08
20-Sep-16,49,67,58,-
21-Sep-16,52,68,60,-
22-Sep-16,49,65,57,-
23-Sep-16,53,63,58,0.01
24-Sep-16,53,66,59.5,-
25-Sep-16,58,76,67,-
26-Sep-16,53,77,65,-
27-Sep-16,54,69,61.5,0.02
28-Sep-16,52,67,59.5,-
29-Sep-16,47,66,56.5,-
30-Sep-16,46,65,55.5,-
1-Oct-16,50,63,56.5,0.05
2-Oct-16,50,63,56.5,-
3-Oct-16,49,60,54.5,-
4-Oct-16,52,60,56,0.13
5-Oct-16,52,65,58.5,0.04
6-Oct-16,53,62,57.5,0.21
7-Oct-16,53,63,58,0.21
8-Oct-16,52,65,58.5,0.6
9-Oct-16,48,56,52,0.07
10-Oct-16,45,60,52.5,-
11-Oct-16,43,62,52.5,-
12-Oct-16,43,66,54.5,-
13-Oct-16,51,59,55,1.67
14-Oct-16,50,57,53.5,1.2
15-Oct-16,50,62,56,0.79
16-Oct-16,50,60,55,0.55
17-Oct-16,50,59,54.5,0.16
18-Oct-16,49,58,53.5,0.1
19-Oct-16,45,58,51.5,0.21
20-Oct-16,50,60,55,1.2
21-Oct-16,48,57,52.5,0.02
22-Oct-16,44,62,53,0.01
23-Oct-16,49,62,55.5,0.16
24-Oct-16,51,63,57,0.1
25-Oct-16,50,63,56.5,-
26-Oct-16,52,58,55,1.23
27-Oct-16,52,58,55,0.03
28-Oct-16,50,67,58.5,0.01
29-Oct-16,48,60,54,0.19
30-Oct-16,44,52,48,0.26
31-Oct-16,49,57,53,0.64
1-Nov-16,50,56,53,0.24
2-Nov-16,51,56,53.5,0.41
3-Nov-16,48,65,56.5,0.05
4-Nov-16,42,63,52.5,-
5-Nov-16,51,60,55.5,1.31
6-Nov-16,48,60,54,0.12
7-Nov-16,50,66,58,0.04
8-Nov-16,49,70,59.5,-
9-Nov-16,51,64,57.5,0.24
10-Nov-16,45,62,53.5,-
11-Nov-16,52,61,56.5,-
12-Nov-16,48,58,53,0.1
13-Nov-16,47,54,50.5,0.24
14-Nov-16,50,57,53.5,0.3
15-Nov-16,46,54,50,1.02
16-Nov-16,43,50,46.5,0.2
17-Nov-16,41,51,46,-
18-Nov-16,39,54,46.5,-
19-Nov-16,48,57,52.5,0.04
20-Nov-16,47,57,52,0.01
21-Nov-16,44,53,48.5,0.02
22-Nov-16,43,53,48,0.45
23-Nov-16,42,48,45,0.13
24-Nov-16,46,51,48.5,0.66
25-Nov-16,41,52,46.5,0.01
26-Nov-16,43,51,47,0.38
27-Nov-16,42,47,44.5,0.32
28-Nov-16,40,50,45,-
29-Nov-16,41,51,46,0.04
30-Nov-16,43,50,46.5,0.1
1-Dec-16,40,46,43,0.01
2-Dec-16,44,49,46.5,0.27
3-Dec-16,44,48,46,0.18
4-Dec-16,35,45,40,0.17
5-Dec-16,33,39,36,0.24
6-Dec-16,31,40,35.5,-
7-Dec-16,28,38,33,-
8-Dec-16,30,38,34,0.05
9-Dec-16,31,36,33.5,0.34
10-Dec-16,35,44,39.5,0.18
11-Dec-16,39,42,40.5,0.09
12-Dec-16,38,42,40,0.09
13-Dec-16,31,38,34.5,-
14-Dec-16,30,39,34.5,-
15-Dec-16,32,38,35,-
16-Dec-16,25,34,29.5,-
17-Dec-16,23,33,28,-
18-Dec-16,27,39,33,-
19-Dec-16,35,45,40,0.81
20-Dec-16,40,50,45,0.01
21-Dec-16,34,47,40.5,-
22-Dec-16,33,44,38.5,0.3
23-Dec-16,35,39,37,0.58
24-Dec-16,35,40,37.5,0.1
25-Dec-16,33,42,37.5,-
26-Dec-16,33,42,37.5,0.29
27-Dec-16,40,44,42,0.05
28-Dec-16,38,47,42.5,-
29-Dec-16,40,48,44,0.05
30-Dec-16,34,45,39.5,0.02
31-Dec-16,29,38,33.5,0.03
1-Jan-17,28,37,32.5,0.43
2-Jan-17,26,34,30,-
3-Jan-17,21,33,27,-
4-Jan-17,22,36,29,-
5-Jan-17,21,35,28,-
6-Jan-17,20,40,30,-
7-Jan-17,29,37,33,-
8-Jan-17,35,45,40,0.45
9-Jan-17,34,42,38,0.05
10-Jan-17,32,40,36,0.05
11-Jan-17,28,34,31,-
12-Jan-17,25,40,32.5,-
13-Jan-17,25,37,31,-
14-Jan-17,26,44,35,-
15-Jan-17,27,43,35,-
16-Jan-17,30,45,37.5,-
17-Jan-17,39,49,44,1.74
18-Jan-17,44,53,48.5,1.21
19-Jan-17,43,50,46.5,0.09
20-Jan-17,37,52,44.5,-
21-Jan-17,40,54,47,0.05
22-Jan-17,37,49,43,0.08
23-Jan-17,34,48,41,-
24-Jan-17,31,43,37,-
25-Jan-17,35,44,39.5,-
26-Jan-17,41,47,44,-
27-Jan-17,37,54,45.5,-
28-Jan-17,37,52,44.5,-
29-Jan-17,37,48,42.5,0.03
30-Jan-17,40,45,42.5,0.02
31-Jan-17,34,44,39,-
1-Feb-17,29,43,36,-
2-Feb-17,32,44,38,0.01
3-Feb-17,34,40,37,0.7
4-Feb-17,37,46,41.5,0.93
5-Feb-17,33,41,37,0.83
6-Feb-17,30,37,33.5,0.64
7-Feb-17,30,38,34,0.01
8-Feb-17,34,40,37,0.68
9-Feb-17,39,56,47.5,1.64
10-Feb-17,39,48,43.5,0.02
11-Feb-17,38,49,43.5,-
12-Feb-17,34,51,42.5,-
13-Feb-17,35,57,46,-
14-Feb-17,36,58,47,0.22
15-Feb-17,45,54,49.5,1.63
16-Feb-17,46,53,49.5,0.51
17-Feb-17,42,56,49,0.01
18-Feb-17,42,45,43.5,0.15
19-Feb-17,40,47,43.5,0.06
20-Feb-17,40,45,42.5,0.2
21-Feb-17,39,48,43.5,0.07
22-Feb-17,35,46,40.5,-
23-Feb-17,34,44,39,0.01
24-Feb-17,32,47,39.5,-
25-Feb-17,32,44,38,0.01
26-Feb-17,35,41,38,0.22
27-Feb-17,33,41,37,0.14
28-Feb-17,33,47,40,0.01
1-Mar-17,41,49,45,0.02
2-Mar-17,41,47,44,0.09
3-Mar-17,39,51,45,0.36
4-Mar-17,34,46,40,0.04
5-Mar-17,34,45,39.5,-
6-Mar-17,35,43,39,-
7-Mar-17,35,42,38.5,0.75
8-Mar-17,37,43,40,0.13
9-Mar-17,37,45,41,0.7
10-Mar-17,44,52,48,0.03
11-Mar-17,40,53,46.5,0.37
12-Mar-17,45,53,49,0.02
13-Mar-17,47,53,50,0.65
14-Mar-17,48,57,52.5,0.38
