Daily Observed Min/Max Temperature & Precipitation,,,,
,San Francisco CA - KSFO,,,
Date,Min,Max,Avg,Precip
4-Feb-14,44,55,49.5,-
5-Feb-14,43,55,49,0.09
6-Feb-14,48,52,50,0.61
7-Feb-14,51,56,53.5,0.23
8-Feb-14,53,59,56,0.41
9-Feb-14,56,59,57.5,0.35
10-Feb-14,51,57,54,-
11-Feb-14,49,56,52.5,-
12-Feb-14,46,56,51,-
13-Feb-14,50,67,58.5,-
14-Feb-14,56,66,61,-
15-Feb-14,52,62,57,-
16-Feb-14,50,63,56.5,0.01
17-Feb-14,46,61,53.5,-
18-Feb-14,48,62,55,-
19-Feb-14,51,62,56.5,0.01
20-Feb-14,45,67,56,-
21-Feb-14,47,69,58,-
22-Feb-14,46,66,56,-
23-Feb-14,46,63,54.5,-
24-Feb-14,45,71,58,-
25-Feb-14,48,62,55,-
26-Feb-14,54,60,57,0.43
27-Feb-14,55,65,60,0.05
28-Feb-14,54,61,57.5,0.68
1-Mar-14,53,63,58,0.14
2-Mar-14,52,60,56,0.03
3-Mar-14,50,60,55,0.08
4-Mar-14,53,62,57.5,-
5-Mar-14,55,68,61.5,0.15
6-Mar-14,54,63,58.5,0.01
7-Mar-14,49,64,56.5,-
8-Mar-14,48,67,57.5,-
9-Mar-14,58,71,64.5,-
10-Mar-14,55,64,59.5,-
11-Mar-14,57,68,62.5,-
12-Mar-14,58,71,64.5,-
13-Mar-14,53,75,64,-
14-Mar-14,53,67,60,-
15-Mar-14,51,75,63,-
16-Mar-14,52,67,59.5,-
17-Mar-14,53,65,59,-
18-Mar-14,49,71,60,-
19-Mar-14,50,73,61.5,-
20-Mar-14,53,67,60,-
21-Mar-14,49,64,56.5,-
22-Mar-14,48,64,56,-
23-Mar-14,50,63,56.5,-
24-Mar-14,49,70,59.5,-
25-Mar-14,49,62,55.5,0.09
26-Mar-14,54,61,57.5,0.36
27-Mar-14,55,65,60,-
28-Mar-14,56,69,62.5,-
29-Mar-14,54,60,57,0.57
30-Mar-14,51,60,55.5,0.01
31-Mar-14,49,57,53,0.45
1-Apr-14,48,58,53,0.61
2-Apr-14,48,60,54,0.41
3-Apr-14,49,63,56,-
4-Apr-14,52,59,55.5,0.22
5-Apr-14,50,63,56.5,-
6-Apr-14,51,73,62,-
7-Apr-14,55,81,68,-
8-Apr-14,55,78,66.5,-
9-Apr-14,52,63,57.5,-
10-Apr-14,50,72,61,-
11-Apr-14,53,63,58,-
12-Apr-14,52,66,59,-
13-Apr-14,54,70,62,-
14-Apr-14,52,66,59,-
15-Apr-14,53,65,59,-
16-Apr-14,52,72,62,-
17-Apr-14,53,63,58,-
18-Apr-14,53,62,57.5,-
19-Apr-14,52,63,57.5,-
20-Apr-14,51,78,64.5,-
21-Apr-14,53,65,59,-
22-Apr-14,52,62,57,0.04
23-Apr-14,52,65,58.5,-
24-Apr-14,55,67,61,-
25-Apr-14,53,59,56,0.37
26-Apr-14,50,62,56,-
27-Apr-14,54,63,58.5,-
28-Apr-14,52,69,60.5,-
29-Apr-14,55,86,70.5,-
30-Apr-14,61,90,75.5,-
1-May-14,63,86,74.5,-
2-May-14,54,72,63,-
3-May-14,56,66,61,-
4-May-14,57,67,62,-
5-May-14,56,66,61,-
6-May-14,52,66,59,-
7-May-14,51,63,57,-
8-May-14,54,65,59.5,-
9-May-14,55,66,60.5,-
10-May-14,53,67,60,-
11-May-14,53,74,63.5,-
12-May-14,53,84,68.5,-
13-May-14,59,92,75.5,-
14-May-14,63,91,77,-
15-May-14,61,83,72,-
16-May-14,55,71,63,-
17-May-14,57,66,61.5,-
18-May-14,57,67,62,-
19-May-14,57,67,62,-
20-May-14,56,70,63,-
21-May-14,56,70,63,-
22-May-14,56,69,62.5,-
23-May-14,54,68,61,-
24-May-14,55,67,61,-
25-May-14,55,72,63.5,-
26-May-14,56,71,63.5,-
27-May-14,55,67,61,-
28-May-14,53,71,62,-
29-May-14,54,77,65.5,-
30-May-14,53,63,58,-
31-May-14,53,67,60,-
1-Jun-14,52,71,61.5,-
2-Jun-14,52,66,59,-
3-Jun-14,54,66,60,-
4-Jun-14,53,68,60.5,-
5-Jun-14,53,71,62,-
6-Jun-14,54,70,62,-
7-Jun-14,53,69,61,-
8-Jun-14,55,87,71,-
9-Jun-14,58,77,67.5,-
10-Jun-14,58,72,65,-
11-Jun-14,60,73,66.5,-
12-Jun-14,56,67,61.5,-
13-Jun-14,54,73,63.5,-
14-Jun-14,56,83,69.5,-
15-Jun-14,56,68,62,-
16-Jun-14,56,64,60,-
17-Jun-14,54,74,64,-
18-Jun-14,55,86,70.5,-
19-Jun-14,55,70,62.5,-
20-Jun-14,57,74,65.5,-
21-Jun-14,56,63,59.5,-
22-Jun-14,55,66,60.5,-
23-Jun-14,56,69,62.5,-
24-Jun-14,58,69,63.5,0.01
25-Jun-14,58,68,63,-
26-Jun-14,57,72,64.5,-
27-Jun-14,59,74,66.5,-
28-Jun-14,58,72,65,-
29-Jun-14,57,80,68.5,-
30-Jun-14,59,80,69.5,-
1-Jul-14,58,74,66,-
2-Jul-14,58,75,66.5,-
3-Jul-14,57,72,64.5,-
4-Jul-14,55,68,61.5,-
5-Jul-14,54,70,62,-
6-Jul-14,53,69,61,-
7-Jul-14,54,69,61.5,-
8-Jul-14,56,75,65.5,-
9-Jul-14,59,74,66.5,-
10-Jul-14,61,74,67.5,-
11-Jul-14,61,72,66.5,-
12-Jul-14,58,68,63,-
13-Jul-14,53,67,60,-
14-Jul-14,58,74,66,-
15-Jul-14,59,79,69,-
16-Jul-14,62,77,69.5,-
17-Jul-14,63,73,68,-
18-Jul-14,63,73,68,-
19-Jul-14,61,73,67,-
20-Jul-14,58,77,67.5,-
21-Jul-14,66,76,71,-
22-Jul-14,65,76,70.5,-
23-Jul-14,65,76,70.5,-
24-Jul-14,61,82,71.5,-
25-Jul-14,62,87,74.5,-
26-Jul-14,61,76,68.5,-
27-Jul-14,61,76,68.5,-
28-Jul-14,61,73,67,-
29-Jul-14,60,72,66,-
30-Jul-14,58,71,64.5,-
31-Jul-14,58,71,64.5,-
1-Aug-14,60,72,66,-
2-Aug-14,59,68,63.5,-
3-Aug-14,60,69,64.5,-
4-Aug-14,60,74,67,-
5-Aug-14,62,73,67.5,-
6-Aug-14,61,75,68,-
7-Aug-14,60,69,64.5,-
8-Aug-14,60,74,67,-
9-Aug-14,59,69,64,-
10-Aug-14,60,76,68,-
11-Aug-14,62,79,70.5,-
12-Aug-14,62,76,69,-
13-Aug-14,61,75,68,-
14-Aug-14,60,72,66,-
15-Aug-14,60,73,66.5,-
16-Aug-14,60,73,66.5,-
17-Aug-14,57,72,64.5,-
18-Aug-14,60,69,64.5,-
19-Aug-14,60,75,67.5,-
20-Aug-14,63,72,67.5,-
21-Aug-14,61,73,67,-
22-Aug-14,60,77,68.5,-
23-Aug-14,57,75,66,-
24-Aug-14,59,74,66.5,-
25-Aug-14,62,73,67.5,-
26-Aug-14,60,73,66.5,-
27-Aug-14,61,73,67,-
28-Aug-14,59,73,66,-
29-Aug-14,60,71,65.5,-
30-Aug-14,63,79,71,-
31-Aug-14,62,74,68,-
1-Sep-14,60,82,71,-
2-Sep-14,60,73,66.5,-
3-Sep-14,60,75,67.5,-
4-Sep-14,60,76,68,-
5-Sep-14,60,75,67.5,-
6-Sep-14,59,72,65.5,-
7-Sep-14,57,71,64,-
8-Sep-14,58,67,62.5,-
9-Sep-14,59,70,64.5,-
10-Sep-14,56,82,69,-
11-Sep-14,59,78,68.5,-
12-Sep-14,59,74,66.5,-
13-Sep-14,60,73,66.5,-
14-Sep-14,59,73,66,-
15-Sep-14,62,78,70,-
16-Sep-14,62,80,71,-
17-Sep-14,62,81,71.5,-
18-Sep-14,66,79,72.5,0.01
19-Sep-14,63,73,68,-
20-Sep-14,64,75,69.5,-
21-Sep-14,65,72,68.5,-
22-Sep-14,66,77,71.5,-
23-Sep-14,65,76,70.5,-
24-Sep-14,66,79,72.5,-
25-Sep-14,61,74,67.5,0.38
26-Sep-14,63,73,68,-
27-Sep-14,63,72,67.5,-
28-Sep-14,61,74,67.5,-
29-Sep-14,60,71,65.5,-
30-Sep-14,62,75,68.5,-
1-Oct-14,61,86,73.5,-
2-Oct-14,61,91,76,-
3-Oct-14,66,93,79.5,-
4-Oct-14,65,91,78,-
5-Oct-14,61,86,73.5,-
6-Oct-14,59,83,71,-
7-Oct-14,59,73,66,-
8-Oct-14,58,78,68,-
9-Oct-14,59,68,63.5,-
10-Oct-14,60,68,64,-
11-Oct-14,59,74,66.5,-
12-Oct-14,59,90,74.5,-
13-Oct-14,63,87,75,-
14-Oct-14,63,74,68.5,-
15-Oct-14,63,74,68.5,-
16-Oct-14,58,73,65.5,-
17-Oct-14,58,77,67.5,-
18-Oct-14,65,78,71.5,-
19-Oct-14,62,73,67.5,-
20-Oct-14,63,72,67.5,0.03
21-Oct-14,57,72,64.5,-
22-Oct-14,57,74,65.5,-
23-Oct-14,63,74,68.5,-
24-Oct-14,61,73,67,-
25-Oct-14,64,73,68.5,0.1
26-Oct-14,59,70,64.5,-
27-Oct-14,56,69,62.5,-
28-Oct-14,55,70,62.5,-
29-Oct-14,55,79,67,-
30-Oct-14,60,72,66,-
31-Oct-14,59,64,61.5,0.18
1-Nov-14,55,65,60,-
2-Nov-14,49,66,57.5,-
3-Nov-14,50,69,59.5,-
4-Nov-14,50,72,61,-
5-Nov-14,54,76,65,-
6-Nov-14,56,74,65,-
7-Nov-14,54,70,62,-
8-Nov-14,54,75,64.5,-
9-Nov-14,53,69,61,-
10-Nov-14,53,68,60.5,-
11-Nov-14,54,67,60.5,-
12-Nov-14,57,67,62,0.15
13-Nov-14,56,67,61.5,0.25
14-Nov-14,56,66,61,-
15-Nov-14,54,66,60,-
16-Nov-14,56,63,59.5,-
17-Nov-14,50,66,58,-
18-Nov-14,51,64,57.5,-
19-Nov-14,56,64,60,0.12
20-Nov-14,53,60,56.5,0.2
21-Nov-14,54,61,57.5,-
22-Nov-14,55,65,60,0.15
23-Nov-14,49,66,57.5,-
24-Nov-14,47,66,56.5,-
25-Nov-14,49,65,57,-
26-Nov-14,49,68,58.5,-
27-Nov-14,50,64,57,-
28-Nov-14,46,63,54.5,-
29-Nov-14,57,65,61,0.08
30-Nov-14,53,62,57.5,1.04
1-Dec-14,57,64,60.5,-
2-Dec-14,56,62,59,1.59
3-Dec-14,59,66,62.5,1.12
4-Dec-14,58,67,62.5,0.1
5-Dec-14,58,67,62.5,0.14
6-Dec-14,58,67,62.5,0.1
7-Dec-14,54,64,59,-
8-Dec-14,56,68,62,-
9-Dec-14,57,63,60,-
10-Dec-14,58,65,61.5,-
11-Dec-14,51,67,59,3.43
12-Dec-14,51,58,54.5,0.34
13-Dec-14,48,56,52,-
14-Dec-14,49,61,55,0.14
15-Dec-14,52,63,57.5,1.3
16-Dec-14,50,63,56.5,0.84
17-Dec-14,50,60,55,0.21
18-Dec-14,52,60,56,0.02
19-Dec-14,55,59,57,0.38
20-Dec-14,56,62,59,0.02
21-Dec-14,58,63,60.5,0.02
22-Dec-14,54,65,59.5,-
23-Dec-14,51,68,59.5,-
24-Dec-14,49,62,55.5,0.04
25-Dec-14,46,58,52,-
26-Dec-14,45,59,52,-
27-Dec-14,42,56,49,-
28-Dec-14,43,57,50,-
29-Dec-14,44,55,49.5,-
30-Dec-14,47,55,51,-
31-Dec-14,41,58,49.5,-
1-Jan-15,40,55,47.5,-
2-Jan-15,38,52,45,-
3-Jan-15,38,54,46,-
4-Jan-15,41,55,48,-
5-Jan-15,43,59,51,-
6-Jan-15,44,60,52,-
7-Jan-15,45,60,52.5,-
8-Jan-15,49,60,54.5,-
9-Jan-15,51,63,57,-
10-Jan-15,49,61,55,-
11-Jan-15,47,56,51.5,-
12-Jan-15,47,62,54.5,-
13-Jan-15,46,64,55,-
14-Jan-15,43,58,50.5,-
15-Jan-15,45,59,52,-
16-Jan-15,48,58,53,-
17-Jan-15,51,58,54.5,-
18-Jan-15,53,61,57,-
19-Jan-15,52,60,56,-
20-Jan-15,49,61,55,-
21-Jan-15,46,64,55,-
22-Jan-15,47,57,52,-
23-Jan-15,45,67,56,-
24-Jan-15,49,64,56.5,-
25-Jan-15,49,63,56,-
26-Jan-15,48,64,56,-
27-Jan-15,54,68,61,-
28-Jan-15,49,64,56.5,-
29-Jan-15,49,66,57.5,-
30-Jan-15,50,64,57,-
31-Jan-15,48,74,61,-
1-Feb-15,46,64,55,-
2-Feb-15,49,66,57.5,-
3-Feb-15,52,65,58.5,-
4-Feb-15,50,64,57,-
5-Feb-15,53,64,58.5,-
6-Feb-15,55,67,61,0.7
7-Feb-15,59,65,62,0.1
8-Feb-15,57,65,61,1.21
9-Feb-15,54,64,59,-
10-Feb-15,48,64,56,-
11-Feb-15,48,67,57.5,-
12-Feb-15,51,73,62,-
13-Feb-15,52,69,60.5,-
14-Feb-15,52,73,62.5,-
15-Feb-15,51,75,63,-
16-Feb-15,51,68,59.5,-
17-Feb-15,53,59,56,-
18-Feb-15,54,64,59,-
19-Feb-15,54,62,58,-
20-Feb-15,54,68,61,-
21-Feb-15,49,67,58,-
22-Feb-15,49,65,57,-
23-Feb-15,53,63,58,-
24-Feb-15,44,66,55,-
25-Feb-15,49,65,57,-
26-Feb-15,50,67,58.5,-
27-Feb-15,53,62,57.5,-
28-Feb-15,50,62,56,-
1-Mar-15,48,65,56.5,-
2-Mar-15,50,61,55.5,-
3-Mar-15,47,64,55.5,-
4-Mar-15,45,66,55.5,-
5-Mar-15,47,68,57.5,-
6-Mar-15,48,72,60,-
7-Mar-15,48,73,60.5,-
8-Mar-15,48,65,56.5,-
9-Mar-15,51,66,58.5,-
10-Mar-15,50,62,56,-
11-Mar-15,55,68,61.5,0.02
12-Mar-15,52,72,62,-
13-Mar-15,53,74,63.5,-
14-Mar-15,57,83,70,-
15-Mar-15,59,71,65,-
16-Mar-15,57,69,63,-
17-Mar-15,53,65,59,-
18-Mar-15,51,69,60,-
19-Mar-15,50,74,62,-
20-Mar-15,52,71,61.5,-
21-Mar-15,56,73,64.5,-
22-Mar-15,55,67,61,0.04
23-Mar-15,55,65,60,-
24-Mar-15,53,65,59,-
25-Mar-15,52,72,62,-
26-Mar-15,52,79,65.5,-
27-Mar-15,52,63,57.5,-
28-Mar-15,52,74,63,-
29-Mar-15,50,71,60.5,-
30-Mar-15,52,64,58,-
31-Mar-15,53,65,59,-
1-Apr-15,49,64,56.5,-
2-Apr-15,49,68,58.5,-
3-Apr-15,48,65,56.5,-
4-Apr-15,50,63,56.5,-
5-Apr-15,48,59,53.5,0.11
6-Apr-15,46,63,54.5,-
7-Apr-15,50,61,55.5,0.59
8-Apr-15,50,63,56.5,0.06
9-Apr-15,49,66,57.5,-
10-Apr-15,49,65,57,-
11-Apr-15,51,69,60,-
12-Apr-15,51,74,62.5,-
13-Apr-15,51,62,56.5,-
14-Apr-15,50,63,56.5,-
15-Apr-15,48,69,58.5,-
16-Apr-15,51,80,65.5,-
17-Apr-15,51,70,60.5,-
18-Apr-15,49,67,58,-
19-Apr-15,51,64,57.5,-
20-Apr-15,53,68,60.5,-
21-Apr-15,54,59,56.5,-
22-Apr-15,52,65,58.5,-
23-Apr-15,51,67,59,-
24-Apr-15,52,63,57.5,0.04
25-Apr-15,52,61,56.5,0.37
26-Apr-15,51,67,59,-
27-Apr-15,52,80,66,-
28-Apr-15,52,64,58,-
29-Apr-15,51,68,59.5,-
30-Apr-15,52,88,70,-
1-May-15,54,75,64.5,-
2-May-15,53,67,60,-
3-May-15,52,65,58.5,-
4-May-15,52,61,56.5,-
5-May-15,52,62,57,-
6-May-15,51,66,58.5,-
7-May-15,50,68,59,-
8-May-15,50,68,59,-
9-May-15,52,65,58.5,-
10-May-15,52,62,57,-
11-May-15,52,62,57,-
12-May-15,51,62,56.5,-
13-May-15,52,65,58.5,-
14-May-15,55,65,60,-
15-May-15,53,62,57.5,-
16-May-15,54,61,57.5,-
17-May-15,55,62,58.5,-
18-May-15,55,60,57.5,-
19-May-15,55,63,59,-
20-May-15,55,62,58.5,-
21-May-15,55,67,61,0.01
22-May-15,56,64,60,0.01
23-May-15,54,63,58.5,-
24-May-15,51,61,56,-
25-May-15,53,64,58.5,-
26-May-15,54,65,59.5,-
27-May-15,53,64,58.5,-
28-May-15,52,62,57,-
29-May-15,52,62,57,-
30-May-15,52,64,58,-
31-May-15,53,67,60,-
1-Jun-15,57,74,65.5,-
2-Jun-15,55,65,60,-
3-Jun-15,54,65,59.5,-
4-Jun-15,54,70,62,-
5-Jun-15,54,73,63.5,-
6-Jun-15,57,74,65.5,-
7-Jun-15,55,71,63,-
8-Jun-15,54,84,69,-
9-Jun-15,54,79,66.5,-
10-Jun-15,54,68,61,0.26
11-Jun-15,54,71,62.5,-
12-Jun-15,55,73,64,-
13-Jun-15,56,77,66.5,-
14-Jun-15,53,70,61.5,-
15-Jun-15,53,61,57,-
16-Jun-15,52,64,58,-
17-Jun-15,52,67,59.5,-
18-Jun-15,52,67,59.5,-
19-Jun-15,51,69,60,-
20-Jun-15,53,69,61,-
21-Jun-15,55,66,60.5,-
22-Jun-15,54,64,59,-
23-Jun-15,54,68,61,-
24-Jun-15,54,71,62.5,-
25-Jun-15,56,76,66,-
26-Jun-15,56,73,64.5,-
27-Jun-15,58,75,66.5,-
28-Jun-15,59,72,65.5,-
29-Jun-15,56,68,62,-
30-Jun-15,55,79,67,-
1-Jul-15,56,74,65,-
2-Jul-15,58,73,65.5,-
3-Jul-15,58,72,65,-
4-Jul-15,58,71,64.5,-
5-Jul-15,59,77,68,-
6-Jul-15,60,72,66,-
7-Jul-15,61,74,67.5,-
8-Jul-15,60,69,64.5,-
9-Jul-15,59,68,63.5,-
10-Jul-15,60,71,65.5,-
11-Jul-15,60,73,66.5,-
12-Jul-15,62,74,68,-
13-Jul-15,62,72,67,-
14-Jul-15,59,68,63.5,-
15-Jul-15,59,79,69,-
16-Jul-15,59,77,68,-
17-Jul-15,59,73,66,-
18-Jul-15,59,76,67.5,-
19-Jul-15,63,88,75.5,-
20-Jul-15,60,76,68,-
21-Jul-15,60,70,65,-
22-Jul-15,60,68,64,-
23-Jul-15,60,68,64,-
24-Jul-15,58,72,65,-
25-Jul-15,59,69,64,-
26-Jul-15,59,74,66.5,-
27-Jul-15,57,81,69,-
28-Jul-15,58,87,72.5,-
29-Jul-15,57,81,69,-
30-Jul-15,60,73,66.5,-
31-Jul-15,60,73,66.5,-
1-Aug-15,62,75,68.5,-
2-Aug-15,62,71,66.5,-
3-Aug-15,63,73,68,-
4-Aug-15,61,73,67,-
5-Aug-15,59,73,66,-
6-Aug-15,59,70,64.5,-
7-Aug-15,58,76,67,-
8-Aug-15,61,71,66,-
9-Aug-15,60,71,65.5,-
10-Aug-15,60,73,66.5,-
11-Aug-15,60,73,66.5,-
12-Aug-15,58,77,67.5,-
13-Aug-15,62,75,68.5,-
14-Aug-15,61,74,67.5,-
15-Aug-15,60,92,76,-
16-Aug-15,61,90,75.5,-
17-Aug-15,60,76,68,-
18-Aug-15,59,76,67.5,-
19-Aug-15,59,74,66.5,-
20-Aug-15,61,69,65,-
21-Aug-15,59,71,65,-
22-Aug-15,59,73,66,-
23-Aug-15,60,74,67,-
24-Aug-15,60,72,66,-
25-Aug-15,58,71,64.5,-
26-Aug-15,57,77,67,-
27-Aug-15,61,86,73.5,-
28-Aug-15,64,93,78.5,-
29-Aug-15,65,75,70,-
30-Aug-15,63,74,68.5,-
31-Aug-15,60,76,68,-
1-Sep-15,59,76,67.5,-
2-Sep-15,62,73,67.5,-
3-Sep-15,59,69,64,-
4-Sep-15,56,69,62.5,-
5-Sep-15,53,77,65,-
6-Sep-15,56,85,70.5,-
7-Sep-15,58,89,73.5,-
8-Sep-15,61,92,76.5,-
9-Sep-15,60,91,75.5,-
10-Sep-15,57,83,70,-
11-Sep-15,57,76,66.5,-
12-Sep-15,57,73,65,-
13-Sep-15,59,72,65.5,-
14-Sep-15,58,68,63,-
15-Sep-15,57,68,62.5,-
16-Sep-15,58,70,64,-
17-Sep-15,58,70,64,-
18-Sep-15,56,79,67.5,-
19-Sep-15,55,85,70,-
20-Sep-15,61,93,77,-
21-Sep-15,60,91,75.5,-
22-Sep-15,58,65,61.5,-
23-Sep-15,55,75,65,-
24-Sep-15,60,85,72.5,-
25-Sep-15,58,74,66,-
26-Sep-15,57,71,64,-
27-Sep-15,57,71,64,-
28-Sep-15,55,70,62.5,-
29-Sep-15,57,67,62,-
30-Sep-15,58,65,61.5,0.02
1-Oct-15,59,74,66.5,-
2-Oct-15,56,76,66,-
3-Oct-15,55,71,63,-
4-Oct-15,53,73,63,-
5-Oct-15,57,74,65.5,-
6-Oct-15,60,74,67,-
7-Oct-15,59,73,66,-
8-Oct-15,58,80,69,-
9-Oct-15,57,79,68,-
10-Oct-15,60,71,65.5,-
11-Oct-15,58,74,66,-
12-Oct-15,56,82,69,-
13-Oct-15,62,87,74.5,-
14-Oct-15,61,78,69.5,-
15-Oct-15,61,71,66,-
16-Oct-15,60,72,66,-
17-Oct-15,60,69,64.5,-
18-Oct-15,60,69,64.5,-
19-Oct-15,60,68,64,-
20-Oct-15,57,79,68,-
21-Oct-15,55,75,65,-
22-Oct-15,54,73,63.5,-
23-Oct-15,55,69,62,-
24-Oct-15,53,70,61.5,-
25-Oct-15,58,70,64,-
26-Oct-15,55,73,64,-
27-Oct-15,58,68,63,-
28-Oct-15,59,70,64.5,-
29-Oct-15,56,72,64,-
30-Oct-15,53,78,65.5,-
31-Oct-15,55,73,64,-
1-Nov-15,57,71,64,0.01
2-Nov-15,54,63,58.5,0.41
3-Nov-15,51,64,57.5,-
4-Nov-15,50,64,57,-
5-Nov-15,47,64,55.5,-
6-Nov-15,48,67,57.5,-
7-Nov-15,47,66,56.5,-
8-Nov-15,49,62,55.5,0.03
9-Nov-15,47,57,52,0.36
10-Nov-15,45,60,52.5,-
11-Nov-15,44,63,53.5,-
12-Nov-15,45,63,54,-
13-Nov-15,46,67,56.5,-
14-Nov-15,46,64,55,-
15-Nov-15,50,59,54.5,0.31
16-Nov-15,47,60,53.5,-
17-Nov-15,50,61,55.5,-
18-Nov-15,48,63,55.5,-
19-Nov-15,48,68,58,-
20-Nov-15,52,68,60,-
21-Nov-15,49,68,58.5,-
22-Nov-15,48,67,57.5,-
23-Nov-15,49,58,53.5,-
24-Nov-15,48,58,53,0.25
25-Nov-15,42,54,48,0.03
26-Nov-15,42,53,47.5,-
27-Nov-15,42,56,49,-
28-Nov-15,42,56,49,-
29-Nov-15,37,55,46,-
30-Nov-15,38,51,44.5,-
1-Dec-15,43,56,49.5,-
2-Dec-15,46,58,52,-
3-Dec-15,45,59,52,0.2
4-Dec-15,45,58,51.5,-
5-Dec-15,44,56,50,-
6-Dec-15,52,61,56.5,0.01
7-Dec-15,54,58,56,-
8-Dec-15,52,60,56,-
9-Dec-15,54,65,59.5,-
10-Dec-15,51,61,56,0.47
11-Dec-15,46,56,51,0.14
12-Dec-15,46,57,51.5,-
13-Dec-15,48,57,52.5,0.76
14-Dec-15,44,56,50,-
15-Dec-15,41,56,48.5,-
16-Dec-15,39,55,47,-
17-Dec-15,50,55,52.5,-
18-Dec-15,45,59,52,0.22
19-Dec-15,49,55,52,0.04
20-Dec-15,42,54,48,0.24
21-Dec-15,51,59,55,0.92
22-Dec-15,51,59,55,0.12
23-Dec-15,48,55,51.5,-
24-Dec-15,45,53,49,0.13
25-Dec-15,40,51,45.5,-
26-Dec-15,39,52,45.5,-
27-Dec-15,34,48,41,0.01
28-Dec-15,41,48,44.5,0.11
29-Dec-15,36,54,45,-
30-Dec-15,40,49,44.5,0.01
31-Dec-15,39,51,45,-
1-Jan-16,37,49,43,-
2-Jan-16,44,51,47.5,-
3-Jan-16,44,53,48.5,0.04
4-Jan-16,47,58,52.5,0.11
5-Jan-16,50,55,52.5,1
6-Jan-16,48,55,51.5,0.99
7-Jan-16,44,53,48.5,0.01
8-Jan-16,42,51,46.5,-
9-Jan-16,49,54,51.5,0.06
10-Jan-16,50,54,52,-
11-Jan-16,50,56,53,-
12-Jan-16,49,59,54,-
13-Jan-16,48,59,53.5,0.33
14-Jan-16,44,57,50.5,0.03
15-Jan-16,50,57,53.5,0.21
16-Jan-16,51,61,56,0.15
17-Jan-16,54,60,57,0.67
18-Jan-16,53,61,57,0.3
19-Jan-16,53,62,57.5,1.04
20-Jan-16,47,56,51.5,-
21-Jan-16,50,62,56,-
22-Jan-16,53,61,57,0.51
23-Jan-16,51,58,54.5,0.06
24-Jan-16,49,57,53,-
25-Jan-16,49,58,53.5,-
26-Jan-16,46,57,51.5,-
27-Jan-16,49,61,55,-
28-Jan-16,47,59,53,-
29-Jan-16,53,61,57,0.07
30-Jan-16,51,58,54.5,-
31-Jan-16,48,54,51,-
1-Feb-16,45,56,50.5,-
2-Feb-16,46,55,50.5,0.18
3-Feb-16,42,53,47.5,-
4-Feb-16,47,58,52.5,-
5-Feb-16,43,61,52,-
6-Feb-16,45,63,54,-
7-Feb-16,47,68,57.5,-
8-Feb-16,51,73,62,-
9-Feb-16,49,71,60,-
10-Feb-16,50,67,58.5,-
11-Feb-16,50,65,57.5,-
12-Feb-16,47,66,56.5,-
13-Feb-16,53,66,59.5,-
14-Feb-16,50,67,58.5,-
15-Feb-16,53,75,64,-
16-Feb-16,53,74,63.5,-
17-Feb-16,50,69,59.5,0.45
18-Feb-16,50,61,55.5,0.2
19-Feb-16,48,62,55,0.05
20-Feb-16,45,60,52.5,-
21-Feb-16,45,61,53,-
22-Feb-16,48,68,58,-
23-Feb-16,48,70,59,-
24-Feb-16,48,67,57.5,-
25-Feb-16,50,67,58.5,-
26-Feb-16,52,70,61,-
27-Feb-16,55,65,60,-
28-Feb-16,51,65,58,-
29-Feb-16,52,67,59.5,-
1-Mar-16,53,70,61.5,-
2-Mar-16,54,67,60.5,-
3-Mar-16,58,64,61,-
4-Mar-16,60,64,62,0.2
5-Mar-16,56,65,60.5,1.45
6-Mar-16,48,61,54.5,1.08
7-Mar-16,50,58,54,0.13
8-Mar-16,47,57,52,-
9-Mar-16,52,65,58.5,0.08
10-Mar-16,53,64,58.5,0.6
11-Mar-16,52,60,56,0.31
12-Mar-16,49,60,54.5,0.22
13-Mar-16,57,61,59,0.9
14-Mar-16,51,61,56,-
15-Mar-16,47,64,55.5,-
16-Mar-16,48,71,59.5,-
17-Mar-16,51,76,63.5,-
18-Mar-16,52,63,57.5,-
19-Mar-16,53,67,60,-
20-Mar-16,54,66,60,0.11
21-Mar-16,54,64,59,0.01
22-Mar-16,51,61,56,-
23-Mar-16,48,66,57,-
24-Mar-16,50,65,57.5,-
25-Mar-16,50,65,57.5,-
26-Mar-16,52,65,58.5,-
27-Mar-16,51,62,56.5,-
28-Mar-16,49,59,54,-
29-Mar-16,47,64,55.5,-
30-Mar-16,49,62,55.5,-
31-Mar-16,53,63,58,-
1-Apr-16,53,62,57.5,-
2-Apr-16,52,67,59.5,-
3-Apr-16,51,62,56.5,-
4-Apr-16,52,66,59,-
5-Apr-16,50,79,64.5,-
6-Apr-16,56,86,71,-
7-Apr-16,60,73,66.5,-
8-Apr-16,59,67,63,0.23
9-Apr-16,57,65,61,0.2
10-Apr-16,55,58,56.5,0.09
11-Apr-16,54,64,59,-
12-Apr-16,54,61,57.5,-
13-Apr-16,53,64,58.5,-
14-Apr-16,50,63,56.5,0.03
15-Apr-16,49,66,57.5,-
16-Apr-16,51,79,65,-
17-Apr-16,54,83,68.5,-
18-Apr-16,56,82,69,-
19-Apr-16,57,80,68.5,-
20-Apr-16,52,75,63.5,-
21-Apr-16,60,70,65,-
22-Apr-16,53,62,57.5,0.15
23-Apr-16,51,63,57,-
24-Apr-16,50,64,57,-
