Daily Observed Min/Max Temperature & Precipitation,,,,
,Phoenix AZ - KPHX,,,
Date,Min,Max,Avg,Precip
4-Oct-12,74,100,87,-
5-Oct-12,70,95,82.5,-
6-Oct-12,71,93,82,-
7-Oct-12,73,95,84,-
8-Oct-12,71,95,83,-
9-Oct-12,71,95,83,-
10-Oct-12,71,94,82.5,-
11-Oct-12,73,92,82.5,0.03
12-Oct-12,65,76,70.5,-
13-Oct-12,61,81,71,-
14-Oct-12,63,94,78.5,-
15-Oct-12,66,96,81,-
16-Oct-12,65,93,79,-
17-Oct-12,66,93,79.5,-
18-Oct-12,67,90,78.5,-
19-Oct-12,66,93,79.5,-
20-Oct-12,66,91,78.5,-
21-Oct-12,68,91,79.5,-
22-Oct-12,66,87,76.5,-
23-Oct-12,65,85,75,-
24-Oct-12,65,83,74,-
25-Oct-12,57,84,70.5,-
26-Oct-12,57,84,70.5,-
27-Oct-12,58,86,72,-
28-Oct-12,59,90,74.5,-
29-Oct-12,61,89,75,-
30-Oct-12,61,89,75,-
31-Oct-12,60,88,74,-
1-Nov-12,59,88,73.5,-
2-Nov-12,63,87,75,-
3-Nov-12,61,85,73,-
4-Nov-12,59,91,75,-
5-Nov-12,59,91,75,-
6-Nov-12,61,91,76,-
7-Nov-12,62,89,75.5,-
8-Nov-12,62,87,74.5,-
9-Nov-12,61,78,69.5,-
10-Nov-12,50,65,57.5,-
11-Nov-12,43,65,54,-
12-Nov-12,44,73,58.5,-
13-Nov-12,47,77,62,-
14-Nov-12,51,82,66.5,-
15-Nov-12,55,75,65,-
16-Nov-12,53,81,67,-
17-Nov-12,56,76,66,-
18-Nov-12,57,81,69,-
19-Nov-12,56,80,68,-
20-Nov-12,55,84,69.5,-
21-Nov-12,56,82,69,-
22-Nov-12,53,79,66,-
23-Nov-12,52,85,68.5,-
24-Nov-12,62,85,73.5,-
25-Nov-12,57,82,69.5,-
26-Nov-12,55,80,67.5,-
27-Nov-12,55,84,69.5,-
28-Nov-12,57,80,68.5,-
29-Nov-12,53,78,65.5,-
30-Nov-12,54,76,65,-
1-Dec-12,54,76,65,-
2-Dec-12,53,77,65,-
3-Dec-12,55,77,66,-
4-Dec-12,54,78,66,-
5-Dec-12,54,82,68,-
6-Dec-12,53,77,65,-
7-Dec-12,53,75,64,-
8-Dec-12,51,73,62,-
9-Dec-12,47,70,58.5,-
10-Dec-12,45,65,55,-
11-Dec-12,41,69,55,-
12-Dec-12,44,72,58,-
13-Dec-12,49,71,60,0.12
14-Dec-12,52,61,56.5,0.4
15-Dec-12,49,66,57.5,0.26
16-Dec-12,46,59,52.5,-
17-Dec-12,45,63,54,-
18-Dec-12,44,62,53,0.07
19-Dec-12,43,57,50,0.01
20-Dec-12,39,63,51,-
21-Dec-12,45,70,57.5,-
22-Dec-12,51,71,61,-
23-Dec-12,43,68,55.5,-
24-Dec-12,47,64,55.5,-
25-Dec-12,45,57,51,-
26-Dec-12,43,62,52.5,-
27-Dec-12,41,58,49.5,-
28-Dec-12,38,59,48.5,-
29-Dec-12,37,65,51,-
30-Dec-12,45,56,50.5,0.01
31-Dec-12,41,56,48.5,-
1-Jan-13,35,57,46,-
2-Jan-13,37,63,50,-
3-Jan-13,40,63,51.5,-
4-Jan-13,41,62,51.5,-
5-Jan-13,37,63,50,-
6-Jan-13,42,68,55,-
7-Jan-13,41,60,50.5,-
8-Jan-13,39,67,53,-
9-Jan-13,42,72,57,-
10-Jan-13,46,61,53.5,0.01
11-Jan-13,39,54,46.5,-
12-Jan-13,31,53,42,-
13-Jan-13,30,50,40,-
14-Jan-13,30,45,37.5,-
15-Jan-13,29,51,40,-
16-Jan-13,34,61,47.5,-
17-Jan-13,38,73,55.5,-
18-Jan-13,44,74,59,-
19-Jan-13,44,75,59.5,-
20-Jan-13,45,74,59.5,-
21-Jan-13,45,79,62,-
22-Jan-13,52,81,66.5,-
23-Jan-13,51,81,66,-
24-Jan-13,58,65,61.5,0.02
25-Jan-13,56,77,66.5,0.01
26-Jan-13,58,64,61,1.18
27-Jan-13,57,69,63,0.16
28-Jan-13,47,60,53.5,0.01
29-Jan-13,41,58,49.5,-
30-Jan-13,39,63,51,-
31-Jan-13,43,69,56,-
1-Feb-13,44,73,58.5,-
2-Feb-13,48,76,62,-
3-Feb-13,56,69,62.5,-
4-Feb-13,57,76,66.5,-
5-Feb-13,52,76,64,-
6-Feb-13,53,74,63.5,-
7-Feb-13,51,74,62.5,-
8-Feb-13,51,68,59.5,-
9-Feb-13,45,57,51,-
10-Feb-13,42,59,50.5,-
11-Feb-13,44,54,49,0.08
12-Feb-13,38,59,48.5,-
13-Feb-13,39,65,52,-
14-Feb-13,43,70,56.5,-
15-Feb-13,48,77,62.5,-
16-Feb-13,52,80,66,-
17-Feb-13,50,76,63,-
18-Feb-13,47,76,61.5,-
19-Feb-13,50,74,62,-
20-Feb-13,40,58,49,0.23
21-Feb-13,39,58,48.5,-
22-Feb-13,42,63,52.5,-
23-Feb-13,43,66,54.5,-
24-Feb-13,48,61,54.5,-
25-Feb-13,40,64,52,-
26-Feb-13,42,69,55.5,-
27-Feb-13,41,68,54.5,-
28-Feb-13,42,72,57,-
1-Mar-13,46,80,63,-
2-Mar-13,51,85,68,-
3-Mar-13,54,77,65.5,-
4-Mar-13,53,77,65,-
5-Mar-13,57,81,69,-
6-Mar-13,55,82,68.5,-
7-Mar-13,53,81,67,-
8-Mar-13,46,68,57,0.82
9-Mar-13,44,58,51,-
10-Mar-13,44,71,57.5,-
11-Mar-13,48,76,62,-
12-Mar-13,51,83,67,-
13-Mar-13,57,89,73,-
14-Mar-13,59,95,77,-
15-Mar-13,62,92,77,-
16-Mar-13,61,88,74.5,-
17-Mar-13,58,87,72.5,-
18-Mar-13,58,86,72,-
19-Mar-13,62,84,73,-
20-Mar-13,62,85,73.5,-
21-Mar-13,65,86,75.5,-
22-Mar-13,60,84,72,-
23-Mar-13,55,80,67.5,-
24-Mar-13,53,81,67,-
25-Mar-13,55,84,69.5,-
26-Mar-13,62,89,75.5,-
27-Mar-13,61,87,74,-
28-Mar-13,60,88,74,-
29-Mar-13,60,89,74.5,-
30-Mar-13,67,88,77.5,-
31-Mar-13,60,90,75,-
1-Apr-13,63,85,74,-
2-Apr-13,58,85,71.5,-
3-Apr-13,62,88,75,-
4-Apr-13,63,93,78,-
5-Apr-13,65,90,77.5,-
6-Apr-13,63,89,76,-
7-Apr-13,64,90,77,-
8-Apr-13,58,84,71,0.06
9-Apr-13,55,75,65,-
10-Apr-13,53,76,64.5,-
11-Apr-13,56,83,69.5,-
12-Apr-13,60,89,74.5,-
13-Apr-13,61,91,76,-
14-Apr-13,63,91,77,-
15-Apr-13,64,89,76.5,-
16-Apr-13,65,83,74,-
17-Apr-13,59,75,67,-
18-Apr-13,56,76,66,-
19-Apr-13,58,82,70,-
20-Apr-13,58,90,74,-
21-Apr-13,62,93,77.5,-
22-Apr-13,64,94,79,-
23-Apr-13,66,93,79.5,-
24-Apr-13,64,90,77,-
25-Apr-13,69,86,77.5,-
26-Apr-13,63,92,77.5,-
27-Apr-13,67,97,82,-
28-Apr-13,69,100,84.5,-
29-Apr-13,70,102,86,-
30-Apr-13,71,101,86,-
1-May-13,72,94,83,-
2-May-13,74,93,83.5,-
3-May-13,69,92,80.5,-
4-May-13,68,96,82,-
5-May-13,71,93,82,0.07
6-May-13,69,87,78,-
7-May-13,67,85,76,-
8-May-13,66,84,75,-
9-May-13,67,88,77.5,-
10-May-13,68,93,80.5,-
11-May-13,73,96,84.5,-
12-May-13,73,99,86,-
13-May-13,75,103,89,-
14-May-13,77,103,90,-
15-May-13,76,101,88.5,-
16-May-13,73,101,87,-
17-May-13,71,94,82.5,-
18-May-13,75,94,84.5,-
19-May-13,71,95,83,-
20-May-13,73,97,85,-
21-May-13,71,99,85,-
22-May-13,72,103,87.5,-
23-May-13,73,100,86.5,-
24-May-13,71,101,86,-
25-May-13,71,98,84.5,-
26-May-13,72,96,84,-
27-May-13,71,94,82.5,-
28-May-13,70,98,84,-
29-May-13,74,98,86,-
30-May-13,77,100,88.5,-
31-May-13,78,101,89.5,-
1-Jun-13,80,108,94,-
2-Jun-13,82,109,95.5,-
3-Jun-13,79,105,92,-
4-Jun-13,79,104,91.5,-
5-Jun-13,79,108,93.5,-
6-Jun-13,79,110,94.5,-
7-Jun-13,81,111,96,-
8-Jun-13,83,110,96.5,-
9-Jun-13,79,108,93.5,-
10-Jun-13,82,109,95.5,-
11-Jun-13,81,109,95,-
12-Jun-13,84,110,97,-
13-Jun-13,85,106,95.5,-
14-Jun-13,84,106,95,-
15-Jun-13,84,107,95.5,-
16-Jun-13,84,108,96,-
17-Jun-13,81,108,94.5,-
18-Jun-13,80,108,94,-
19-Jun-13,77,106,91.5,-
20-Jun-13,79,106,92.5,-
21-Jun-13,77,107,92,-
22-Jun-13,78,105,91.5,-
23-Jun-13,76,107,91.5,-
24-Jun-13,78,104,91,-
25-Jun-13,79,106,92.5,-
26-Jun-13,79,107,93,-
27-Jun-13,83,110,96.5,-
28-Jun-13,82,116,99,-
29-Jun-13,91,119,105,-
30-Jun-13,91,115,103,0.09
1-Jul-13,90,112,101,-
2-Jul-13,85,108,96.5,-
3-Jul-13,87,111,99,-
4-Jul-13,91,108,99.5,-
5-Jul-13,89,106,97.5,-
6-Jul-13,88,111,99.5,0.1
7-Jul-13,90,112,101,-
8-Jul-13,91,113,102,-
9-Jul-13,90,107,98.5,-
10-Jul-13,86,104,95,0.05
11-Jul-13,82,97,89.5,-
12-Jul-13,87,101,94,-
13-Jul-13,84,106,95,0.02
14-Jul-13,93,110,101.5,0.03
15-Jul-13,92,110,101,0.02
16-Jul-13,83,104,93.5,-
17-Jul-13,84,107,95.5,-
18-Jul-13,88,108,98,-
19-Jul-13,81,105,93,0.13
20-Jul-13,77,103,90,0.06
21-Jul-13,74,87,80.5,0.93
22-Jul-13,79,96,87.5,-
23-Jul-13,82,102,92,-
24-Jul-13,88,107,97.5,0.18
25-Jul-13,76,101,88.5,0.75
26-Jul-13,87,103,95,0.1
27-Jul-13,84,105,94.5,0.07
28-Jul-13,87,108,97.5,-
29-Jul-13,85,107,96,-
30-Jul-13,86,108,97,-
31-Jul-13,91,109,100,-
1-Aug-13,91,106,98.5,-
2-Aug-13,88,107,97.5,-
3-Aug-13,86,109,97.5,-
4-Aug-13,90,106,98,-
5-Aug-13,86,101,93.5,0.01
6-Aug-13,76,92,84,0.01
7-Aug-13,79,102,90.5,-
8-Aug-13,79,107,93,-
9-Aug-13,79,109,94,-
10-Aug-13,83,106,94.5,-
11-Aug-13,79,107,93,-
12-Aug-13,84,111,97.5,-
13-Aug-13,82,107,94.5,-
14-Aug-13,86,109,97.5,0.03
15-Aug-13,89,110,99.5,-
16-Aug-13,91,113,102,-
17-Aug-13,88,114,101,0.04
18-Aug-13,86,111,98.5,0.05
19-Aug-13,91,110,100.5,-
20-Aug-13,88,111,99.5,-
21-Aug-13,90,100,95,-
22-Aug-13,88,106,97,-
23-Aug-13,85,103,94,-
24-Aug-13,81,101,91,-
25-Aug-13,80,89,84.5,0.01
26-Aug-13,77,100,88.5,0.43
27-Aug-13,80,107,93.5,-
28-Aug-13,83,107,95,0.07
29-Aug-13,81,100,90.5,0.03
30-Aug-13,81,101,91,0.05
31-Aug-13,81,101,91,-
1-Sep-13,84,105,94.5,-
2-Sep-13,87,103,95,-
3-Sep-13,85,109,97,-
4-Sep-13,88,110,99,-
5-Sep-13,88,111,99.5,-
6-Sep-13,89,111,100,0.01
7-Sep-13,83,94,88.5,-
8-Sep-13,73,89,81,0.36
9-Sep-13,73,84,78.5,0.5
10-Sep-13,74,86,80,-
11-Sep-13,74,94,84,-
12-Sep-13,75,100,87.5,-
13-Sep-13,80,101,90.5,0.01
14-Sep-13,85,105,95,0.24
15-Sep-13,82,105,93.5,-
16-Sep-13,88,106,97,-
17-Sep-13,88,108,98,-
18-Sep-13,84,107,95.5,-
19-Sep-13,78,103,90.5,-
20-Sep-13,77,105,91,-
21-Sep-13,81,103,92,-
22-Sep-13,76,91,83.5,-
23-Sep-13,67,94,80.5,-
24-Sep-13,70,99,84.5,-
25-Sep-13,72,97,84.5,-
26-Sep-13,72,97,84.5,-
27-Sep-13,69,87,78,-
28-Sep-13,63,92,77.5,-
29-Sep-13,67,94,80.5,-
30-Sep-13,68,95,81.5,-
1-Oct-13,68,96,82,-
2-Oct-13,69,95,82,-
3-Oct-13,69,94,81.5,-
4-Oct-13,68,89,78.5,-
5-Oct-13,66,86,76,-
6-Oct-13,61,93,77,-
7-Oct-13,66,97,81.5,-
8-Oct-13,67,94,80.5,-
9-Oct-13,68,88,78,-
10-Oct-13,56,72,64,-
11-Oct-13,57,79,68,-
12-Oct-13,60,87,73.5,-
13-Oct-13,62,86,74,-
14-Oct-13,62,84,73,-
15-Oct-13,60,84,72,-
16-Oct-13,58,83,70.5,-
17-Oct-13,58,83,70.5,-
18-Oct-13,58,86,72,-
19-Oct-13,58,88,73,-
20-Oct-13,60,86,73,-
21-Oct-13,59,88,73.5,-
22-Oct-13,59,94,76.5,-
23-Oct-13,64,95,79.5,-
24-Oct-13,66,93,79.5,-
25-Oct-13,62,89,75.5,-
26-Oct-13,62,91,76.5,-
27-Oct-13,64,91,77.5,-
28-Oct-13,64,86,75,-
29-Oct-13,61,74,67.5,-
30-Oct-13,55,74,64.5,-
31-Oct-13,53,76,64.5,-
1-Nov-13,54,81,67.5,-
2-Nov-13,54,90,72,-
3-Nov-13,61,85,73,-
4-Nov-13,57,80,68.5,0.11
5-Nov-13,58,76,67,-
6-Nov-13,55,79,67,-
7-Nov-13,53,84,68.5,-
8-Nov-13,55,85,70,-
9-Nov-13,58,85,71.5,-
10-Nov-13,58,83,70.5,-
11-Nov-13,58,90,74,-
12-Nov-13,60,92,76,-
13-Nov-13,69,85,77,-
14-Nov-13,63,82,72.5,-
15-Nov-13,62,84,73,-
16-Nov-13,62,73,67.5,-
17-Nov-13,55,76,65.5,-
18-Nov-13,57,81,69,-
19-Nov-13,56,79,67.5,-
20-Nov-13,62,75,68.5,-
21-Nov-13,58,71,64.5,0.38
22-Nov-13,53,60,56.5,1.71
23-Nov-13,51,59,55,0.41
24-Nov-13,51,61,56,0.01
25-Nov-13,46,64,55,-
26-Nov-13,47,71,59,-
27-Nov-13,55,71,63,-
28-Nov-13,50,74,62,-
29-Nov-13,51,75,63,-
30-Nov-13,50,71,60.5,-
1-Dec-13,51,72,61.5,-
2-Dec-13,48,70,59,-
3-Dec-13,50,73,61.5,-
4-Dec-13,50,63,56.5,-
5-Dec-13,42,57,49.5,-
6-Dec-13,36,57,46.5,-
7-Dec-13,37,58,47.5,-
8-Dec-13,47,59,53,-
9-Dec-13,36,56,46,-
10-Dec-13,38,63,50.5,-
11-Dec-13,42,72,57,-
12-Dec-13,55,74,64.5,-
13-Dec-13,45,64,54.5,-
14-Dec-13,41,69,55,-
15-Dec-13,45,71,58,-
16-Dec-13,46,74,60,-
17-Dec-13,47,82,64.5,-
18-Dec-13,52,77,64.5,-
19-Dec-13,50,72,61,0.16
20-Dec-13,51,58,54.5,0.23
21-Dec-13,46,59,52.5,-
22-Dec-13,42,62,52,-
23-Dec-13,42,69,55.5,-
24-Dec-13,44,71,57.5,-
25-Dec-13,42,71,56.5,-
26-Dec-13,49,71,60,-
27-Dec-13,46,74,60,-
28-Dec-13,46,67,56.5,-
29-Dec-13,43,69,56,-
30-Dec-13,43,69,56,-
31-Dec-13,43,72,57.5,-
1-Jan-14,43,70,56.5,-
2-Jan-14,44,77,60.5,-
3-Jan-14,48,74,61,-
4-Jan-14,48,68,58,-
5-Jan-14,42,67,54.5,-
6-Jan-14,39,68,53.5,-
7-Jan-14,42,69,55.5,-
8-Jan-14,43,69,56,-
9-Jan-14,45,68,56.5,-
10-Jan-14,42,67,54.5,-
11-Jan-14,43,71,57,-
12-Jan-14,46,69,57.5,-
13-Jan-14,41,71,56,-
14-Jan-14,41,74,57.5,-
15-Jan-14,44,77,60.5,-
16-Jan-14,45,76,60.5,-
17-Jan-14,44,79,61.5,-
18-Jan-14,47,75,61,-
19-Jan-14,47,76,61.5,-
20-Jan-14,47,77,62,-
21-Jan-14,46,81,63.5,-
22-Jan-14,53,78,65.5,-
23-Jan-14,47,76,61.5,-
24-Jan-14,58,70,64,-
25-Jan-14,58,75,66.5,-
26-Jan-14,50,73,61.5,-
27-Jan-14,56,75,65.5,-
28-Jan-14,47,73,60,-
29-Jan-14,47,75,61,-
30-Jan-14,52,77,64.5,-
31-Jan-14,55,70,62.5,-
1-Feb-14,52,66,59,-
2-Feb-14,42,65,53.5,-
3-Feb-14,48,61,54.5,-
4-Feb-14,41,64,52.5,-
5-Feb-14,51,66,58.5,-
6-Feb-14,47,62,54.5,-
7-Feb-14,50,69,59.5,-
8-Feb-14,50,72,61,-
9-Feb-14,50,77,63.5,-
10-Feb-14,52,78,65,-
11-Feb-14,51,78,64.5,-
12-Feb-14,50,79,64.5,-
13-Feb-14,52,82,67,-
14-Feb-14,54,85,69.5,-
15-Feb-14,53,86,69.5,-
16-Feb-14,56,84,70,-
17-Feb-14,55,88,71.5,-
18-Feb-14,57,86,71.5,-
19-Feb-14,58,82,70,-
20-Feb-14,52,77,64.5,-
21-Feb-14,53,77,65,-
22-Feb-14,50,79,64.5,-
23-Feb-14,53,82,67.5,-
24-Feb-14,53,101,77,-
25-Feb-14,58,77,67.5,-
26-Feb-14,55,81,68,-
27-Feb-14,56,81,68.5,-
28-Feb-14,58,84,71,-
1-Mar-14,55,71,63,0.94
2-Mar-14,53,68,60.5,0.05
3-Mar-14,53,75,64,-
4-Mar-14,58,76,67,-
5-Mar-14,55,82,68.5,-
6-Mar-14,58,79,68.5,-
7-Mar-14,55,81,68,-
8-Mar-14,54,80,67,-
9-Mar-14,59,81,70,-
10-Mar-14,56,81,68.5,-
11-Mar-14,55,82,68.5,-
12-Mar-14,54,83,68.5,-
13-Mar-14,61,81,71,-
14-Mar-14,62,80,71,-
15-Mar-14,55,86,70.5,-
16-Mar-14,56,82,69,-
17-Mar-14,54,87,70.5,-
18-Mar-14,61,81,71,-
19-Mar-14,54,82,68,-
20-Mar-14,55,83,69,-
21-Mar-14,56,85,70.5,-
22-Mar-14,56,82,69,-
23-Mar-14,58,84,71,-
24-Mar-14,59,89,74,-
25-Mar-14,61,89,75,-
26-Mar-14,61,80,70.5,-
27-Mar-14,56,74,65,-
28-Mar-14,55,79,67,-
29-Mar-14,57,88,72.5,-
30-Mar-14,62,83,72.5,-
31-Mar-14,55,85,70,-
1-Apr-14,57,79,68,-
2-Apr-14,55,71,63,-
3-Apr-14,50,73,61.5,-
4-Apr-14,52,80,66,-
5-Apr-14,58,78,68,-
6-Apr-14,57,83,70,-
7-Apr-14,58,89,73.5,-
8-Apr-14,62,94,78,-
9-Apr-14,65,95,80,-
10-Apr-14,65,98,81.5,-
11-Apr-14,68,96,82,-
12-Apr-14,68,89,78.5,-
13-Apr-14,61,88,74.5,-
14-Apr-14,66,85,75.5,-
15-Apr-14,60,90,75,-
16-Apr-14,60,93,76.5,-
17-Apr-14,64,94,79,-
18-Apr-14,70,82,76,-
19-Apr-14,63,89,76,-
20-Apr-14,66,92,79,-
21-Apr-14,68,98,83,-
22-Apr-14,70,97,83.5,-
23-Apr-14,70,86,78,-
24-Apr-14,62,91,76.5,-
25-Apr-14,64,94,79,-
26-Apr-14,59,76,67.5,-
27-Apr-14,57,80,68.5,-
28-Apr-14,60,88,74,-
29-Apr-14,68,86,77,-
30-Apr-14,66,87,76.5,-
1-May-14,70,91,80.5,-
2-May-14,67,95,81,-
3-May-14,68,102,85,-
4-May-14,69,101,85,-
5-May-14,70,98,84,-
6-May-14,68,87,77.5,-
7-May-14,59,77,68,-
8-May-14,63,84,73.5,-
9-May-14,63,88,75.5,-
10-May-14,65,94,79.5,-
11-May-14,70,82,76,-
12-May-14,67,88,77.5,-
13-May-14,69,89,79,-
14-May-14,70,94,82,-
15-May-14,69,99,84,-
16-May-14,71,104,87.5,-
17-May-14,74,104,89,-
18-May-14,73,101,87,-
19-May-14,73,100,86.5,-
20-May-14,72,95,83.5,-
21-May-14,67,91,79,-
22-May-14,66,92,79,-
23-May-14,69,90,79.5,-
24-May-14,69,91,80,-
25-May-14,77,96,86.5,-
26-May-14,76,104,90,-
27-May-14,78,107,92.5,-
28-May-14,79,104,91.5,-
29-May-14,84,99,91.5,-
30-May-14,79,106,92.5,-
31-May-14,80,108,94,-
1-Jun-14,78,106,92,-
2-Jun-14,77,110,93.5,-
3-Jun-14,81,108,94.5,-
4-Jun-14,76,107,91.5,-
5-Jun-14,76,107,91.5,-
6-Jun-14,75,107,91,-
7-Jun-14,76,105,90.5,-
8-Jun-14,79,105,92,-
9-Jun-14,79,110,94.5,-
10-Jun-14,83,109,96,-
11-Jun-14,85,106,95.5,-
12-Jun-14,80,107,93.5,-
13-Jun-14,85,108,96.5,-
14-Jun-14,83,103,93,-
15-Jun-14,75,101,88,-
16-Jun-14,75,105,90,-
17-Jun-14,83,104,93.5,-
18-Jun-14,79,100,89.5,-
19-Jun-14,76,103,89.5,-
20-Jun-14,79,109,94,-
21-Jun-14,83,108,95.5,-
22-Jun-14,83,107,95,-
23-Jun-14,78,107,92.5,-
24-Jun-14,80,105,92.5,-
25-Jun-14,81,107,94,-
26-Jun-14,80,105,92.5,-
27-Jun-14,84,103,93.5,-
28-Jun-14,82,107,94.5,-
29-Jun-14,86,109,97.5,-
30-Jun-14,87,109,98,-
1-Jul-14,86,109,97.5,-
2-Jul-14,86,109,97.5,-
3-Jul-14,79,108,93.5,-
4-Jul-14,81,98,89.5,-
5-Jul-14,84,103,93.5,0.01
6-Jul-14,84,105,94.5,-
7-Jul-14,88,108,98,-
8-Jul-14,86,105,95.5,-
9-Jul-14,83,101,92,-
10-Jul-14,87,105,96,-
11-Jul-14,88,107,97.5,-
12-Jul-14,88,110,99,-
13-Jul-14,80,110,95,0.03
14-Jul-14,81,103,92,0.02
15-Jul-14,86,103,94.5,-
16-Jul-14,84,107,95.5,-
17-Jul-14,86,105,95.5,-
18-Jul-14,83,105,94,-
19-Jul-14,88,104,96,-
20-Jul-14,85,106,95.5,-
21-Jul-14,85,107,96,-
22-Jul-14,89,113,101,-
23-Jul-14,94,114,104,-
24-Jul-14,93,116,104.5,-
25-Jul-14,87,109,98,-
26-Jul-14,83,108,95.5,-
27-Jul-14,83,104,93.5,-
28-Jul-14,85,107,96,-
29-Jul-14,92,110,101,-
30-Jul-14,92,111,101.5,-
31-Jul-14,89,109,99,-
1-Aug-14,81,99,90,-
2-Aug-14,78,102,90,-
3-Aug-14,80,103,91.5,-
4-Aug-14,79,105,92,-
5-Aug-14,83,105,94,-
6-Aug-14,84,108,96,-
7-Aug-14,82,105,93.5,-
8-Aug-14,85,105,95,-
9-Aug-14,84,104,94,-
10-Aug-14,84,104,94,-
11-Aug-14,87,109,98,-
12-Aug-14,77,98,87.5,0.44
13-Aug-14,73,95,84,0.11
14-Aug-14,83,102,92.5,-
15-Aug-14,83,104,93.5,-
16-Aug-14,87,106,96.5,-
17-Aug-14,88,109,98.5,-
18-Aug-14,83,98,90.5,-
19-Aug-14,74,91,82.5,0.43
20-Aug-14,75,98,86.5,-
21-Aug-14,71,90,80.5,0.19
22-Aug-14,72,93,82.5,-
23-Aug-14,76,97,86.5,-
24-Aug-14,79,103,91,-
25-Aug-14,83,101,92,-
26-Aug-14,80,100,90,-
27-Aug-14,83,103,93,-
28-Aug-14,83,106,94.5,-
29-Aug-14,83,108,95.5,-
30-Aug-14,83,111,97,-
31-Aug-14,83,109,96,-
1-Sep-14,81,108,94.5,-
2-Sep-14,82,109,95.5,-
3-Sep-14,84,108,96,-
4-Sep-14,83,107,95,-
5-Sep-14,80,101,90.5,-
6-Sep-14,86,105,95.5,-
7-Sep-14,84,104,94,-
8-Sep-14,71,90,80.5,2.62
9-Sep-14,79,92,85.5,-
10-Sep-14,79,97,88,-
11-Sep-14,79,100,89.5,-
12-Sep-14,78,104,91,-
13-Sep-14,83,100,91.5,-
14-Sep-14,81,102,91.5,-
15-Sep-14,87,105,96,-
16-Sep-14,80,92,86,0.01
17-Sep-14,78,89,83.5,0.14
18-Sep-14,76,96,86,-
19-Sep-14,82,98,90,-
20-Sep-14,81,99,90,-
21-Sep-14,80,99,89.5,-
22-Sep-14,80,101,90.5,-
23-Sep-14,77,102,89.5,-
24-Sep-14,77,104,90.5,-
25-Sep-14,81,103,92,-
26-Sep-14,82,101,91.5,-
27-Sep-14,69,95,82,1.65
28-Sep-14,71,87,79,0.02
29-Sep-14,67,89,78,-
30-Sep-14,66,89,77.5,-
1-Oct-14,67,91,79,-
2-Oct-14,69,92,80.5,-
3-Oct-14,67,99,83,-
4-Oct-14,69,99,84,-
5-Oct-14,69,96,82.5,-
6-Oct-14,70,93,81.5,-
7-Oct-14,72,90,81,-
8-Oct-14,69,82,75.5,0.05
9-Oct-14,70,84,77,-
10-Oct-14,69,89,79,-
11-Oct-14,70,92,81,-
12-Oct-14,70,94,82,-
13-Oct-14,65,90,77.5,-
14-Oct-14,65,94,79.5,-
15-Oct-14,69,90,79.5,-
16-Oct-14,67,92,79.5,-
17-Oct-14,71,89,80,-
18-Oct-14,68,90,79,-
19-Oct-14,69,94,81.5,0.08
20-Oct-14,66,90,78,-
21-Oct-14,69,91,80,-
22-Oct-14,67,93,80,-
23-Oct-14,67,94,80.5,-
24-Oct-14,68,96,82,-
25-Oct-14,70,96,83,-
26-Oct-14,71,89,80,-
27-Oct-14,71,88,79.5,-
28-Oct-14,65,88,76.5,-
29-Oct-14,64,91,77.5,-
30-Oct-14,64,94,79,-
31-Oct-14,67,95,81,-
1-Nov-14,69,83,76,-
2-Nov-14,60,73,66.5,-
3-Nov-14,53,75,64,-
4-Nov-14,53,81,67,-
5-Nov-14,60,85,72.5,-
6-Nov-14,60,86,73,-
7-Nov-14,59,84,71.5,-
8-Nov-14,58,90,74,-
9-Nov-14,61,87,74,-
10-Nov-14,59,84,71.5,-
11-Nov-14,58,84,71,-
12-Nov-14,60,80,70,-
13-Nov-14,61,80,70.5,-
14-Nov-14,61,73,67,-
15-Nov-14,57,77,67,-
16-Nov-14,54,71,62.5,-
17-Nov-14,47,71,59,-
18-Nov-14,47,74,60.5,-
19-Nov-14,50,74,62,-
20-Nov-14,48,74,61,-
21-Nov-14,53,72,62.5,-
22-Nov-14,46,72,59,-
23-Nov-14,48,74,61,-
24-Nov-14,42,71,56.5,-
25-Nov-14,46,69,57.5,-
26-Nov-14,44,74,59,-
27-Nov-14,47,87,67,-
28-Nov-14,52,84,68,-
29-Nov-14,51,80,65.5,-
30-Nov-14,53,80,66.5,-
1-Dec-14,51,73,62,-
2-Dec-14,54,70,62,0.03
3-Dec-14,60,76,68,0.01
4-Dec-14,60,68,64,0.61
5-Dec-14,57,72,64.5,-
6-Dec-14,57,71,64,-
7-Dec-14,51,77,64,-
8-Dec-14,55,76,65.5,-
9-Dec-14,54,78,66,-
10-Dec-14,54,77,65.5,-
11-Dec-14,56,76,66,-
12-Dec-14,57,78,67.5,-
13-Dec-14,51,66,58.5,0.08
14-Dec-14,46,63,54.5,-
15-Dec-14,46,64,55,-
16-Dec-14,49,65,57,-
17-Dec-14,51,61,56,0.07
18-Dec-14,50,62,56,-
19-Dec-14,45,64,54.5,-
20-Dec-14,45,66,55.5,-
21-Dec-14,47,65,56,-
22-Dec-14,47,66,56.5,-
23-Dec-14,47,68,57.5,-
24-Dec-14,43,66,54.5,-
25-Dec-14,45,64,54.5,-
26-Dec-14,38,57,47.5,-
27-Dec-14,35,60,47.5,-
28-Dec-14,36,60,48,-
29-Dec-14,36,61,48.5,-
30-Dec-14,37,63,50,-
