Daily Observed Min/Max Temperature & Precipitation
,JFK NY - KJFK,,,
Date,Min,Max,Avg,Precip
12-Jun-2009,63,79,71.0,1.07
13-Jun-2009,62,76,69.0,-
14-Jun-2009,58,71,64.5,0.01
15-Jun-2009,57,68,62.5,0.21
16-Jun-2009,56,66,61.0,-
17-Jun-2009,53,66,59.5,0.01
18-Jun-2009,62,65,63.5,1.89
19-Jun-2009,64,79,71.5,-
20-Jun-2009,65,72,68.5,0.40
21-Jun-2009,63,80,71.5,0.68
22-Jun-2009,66,76,71.0,-
23-Jun-2009,65,80,72.5,0.08
24-Jun-2009,64,78,71.0,0.01
25-Jun-2009,64,76,70.0,-
26-Jun-2009,65,81,73.0,0.04
27-Jun-2009,64,83,73.5,0.01
28-Jun-2009,66,80,73.0,-
29-Jun-2009,67,83,75.0,-
30-Jun-2009,66,80,73.0,0.05
1-Jul-2009,68,81,74.5,0.04
2-Jul-2009,68,79,73.5,0.02
3-Jul-2009,68,81,74.5,0.02
4-Jul-2009,68,83,75.5,-
5-Jul-2009,64,80,72.0,-
6-Jul-2009,64,84,74.0,-
7-Jul-2009,64,80,72.0,0.51
8-Jul-2009,59,81,70.0,-
9-Jul-2009,62,73,67.5,-
10-Jul-2009,58,76,67.0,-
11-Jul-2009,62,76,69.0,0.34
12-Jul-2009,65,84,74.5,0.13
13-Jul-2009,60,77,68.5,-
14-Jul-2009,64,83,73.5,-
15-Jul-2009,62,80,71.0,-
16-Jul-2009,70,82,76.0,-
17-Jul-2009,68,84,76.0,-
18-Jul-2009,73,85,79.0,-
19-Jul-2009,67,81,74.0,-
20-Jul-2009,65,82,73.5,-
21-Jul-2009,66,72,69.0,0.76
22-Jul-2009,66,80,73.0,-
23-Jul-2009,65,76,70.5,0.55
24-Jul-2009,65,80,72.5,0.04
25-Jul-2009,66,82,74.0,-
26-Jul-2009,72,84,78.0,0.31
27-Jul-2009,71,83,77.0,-
28-Jul-2009,71,85,78.0,-
29-Jul-2009,71,82,76.5,0.34
30-Jul-2009,73,90,81.5,-
31-Jul-2009,70,88,79.0,0.51
1-Aug-2009,68,81,74.5,-
2-Aug-2009,71,78,74.5,0.62
3-Aug-2009,69,83,76.0,-
4-Aug-2009,70,84,77.0,-
5-Aug-2009,74,86,80.0,-
6-Aug-2009,67,76,71.5,0.04
7-Aug-2009,66,83,74.5,-
8-Aug-2009,63,78,70.5,-
9-Aug-2009,71,80,75.5,-
10-Aug-2009,72,92,82.0,0.16
11-Aug-2009,76,90,83.0,-
12-Aug-2009,71,83,77.0,0.02
13-Aug-2009,69,76,72.5,0.01
14-Aug-2009,66,82,74.0,-
15-Aug-2009,69,86,77.5,-
16-Aug-2009,71,90,80.5,-
17-Aug-2009,73,91,82.0,-
18-Aug-2009,71,89,80.0,-
19-Aug-2009,73,90,81.5,-
20-Aug-2009,75,87,81.0,-
21-Aug-2009,73,88,80.5,0.54
22-Aug-2009,72,85,78.5,0.71
23-Aug-2009,74,84,79.0,0.01
24-Aug-2009,71,85,78.0,-
25-Aug-2009,70,84,77.0,-
26-Aug-2009,73,89,81.0,-
27-Aug-2009,68,77,72.5,-
28-Aug-2009,63,73,68.0,1.43
29-Aug-2009,67,74,70.5,0.06
30-Aug-2009,67,81,74.0,-
31-Aug-2009,60,75,67.5,-
1-Sep-2009,57,75,66.0,-
2-Sep-2009,57,75,66.0,-
3-Sep-2009,58,79,68.5,-
4-Sep-2009,60,85,72.5,-
5-Sep-2009,69,86,77.5,-
6-Sep-2009,64,76,70.0,-
7-Sep-2009,59,74,66.5,-
8-Sep-2009,62,75,68.5,-
9-Sep-2009,64,78,71.0,-
10-Sep-2009,61,72,66.5,0.01
11-Sep-2009,59,67,63.0,0.94
12-Sep-2009,64,69,66.5,0.11
13-Sep-2009,65,82,73.5,-
14-Sep-2009,62,79,70.5,-
15-Sep-2009,64,82,73.0,-
16-Sep-2009,62,69,65.5,0.08
17-Sep-2009,55,67,61.0,0.01
18-Sep-2009,54,76,65.0,-
19-Sep-2009,54,71,62.5,-
20-Sep-2009,50,72,61.0,-
21-Sep-2009,55,72,63.5,-
22-Sep-2009,63,73,68.0,-
23-Sep-2009,67,78,72.5,-
24-Sep-2009,65,85,75.0,0.03
25-Sep-2009,56,70,63.0,-
26-Sep-2009,54,64,59.0,0.06
27-Sep-2009,61,69,65.0,1.24
28-Sep-2009,60,72,66.0,0.51
29-Sep-2009,57,70,63.5,-
