Daily Observed Min/Max Temperature & Precipitation
,JFK NY - KJFK,,,
Date,Min,Max,Avg,Precip
4-Dec-2010,33,43,38.0,-
5-Dec-2010,31,37,34.0,-
6-Dec-2010,31,36,33.5,-
7-Dec-2010,31,39,35.0,-
8-Dec-2010,28,36,32.0,-
9-Dec-2010,22,32,27.0,-
10-Dec-2010,19,38,28.5,-
11-Dec-2010,27,44,35.5,-
12-Dec-2010,42,56,49.0,1.13
13-Dec-2010,22,50,36.0,-
14-Dec-2010,19,25,22.0,-
15-Dec-2010,20,30,25.0,-
16-Dec-2010,24,30,27.0,-
17-Dec-2010,22,38,30.0,-
18-Dec-2010,25,37,31.0,-
19-Dec-2010,28,38,33.0,-
20-Dec-2010,26,39,32.5,-
21-Dec-2010,29,43,36.0,-
22-Dec-2010,29,41,35.0,-
23-Dec-2010,31,37,34.0,-
24-Dec-2010,30,42,36.0,-
25-Dec-2010,26,33,29.5,-
26-Dec-2010,22,31,26.5,0.26
27-Dec-2010,21,27,24.0,-
28-Dec-2010,23,38,30.5,-
29-Dec-2010,28,38,33.0,-
30-Dec-2010,20,39,29.5,-
31-Dec-2010,30,40,35.0,-
1-Jan-2011,33,43,38.0,-
2-Jan-2011,36,49,42.5,0.11
3-Jan-2011,28,36,32.0,-
4-Jan-2011,28,38,33.0,-
5-Jan-2011,28,40,34.0,-
6-Jan-2011,23,34,28.5,-
7-Jan-2011,26,36,31.0,0.07
8-Jan-2011,20,32,26.0,-
9-Jan-2011,27,33,30.0,-
10-Jan-2011,25,36,30.5,-
11-Jan-2011,23,32,27.5,0.17
12-Jan-2011,24,32,28.0,0.27
13-Jan-2011,18,31,24.5,-
14-Jan-2011,15,30,22.5,-
15-Jan-2011,21,36,28.5,-
16-Jan-2011,26,36,31.0,-
17-Jan-2011,20,27,23.5,-
18-Jan-2011,24,45,34.5,1.28
19-Jan-2011,34,42,38.0,0.05
20-Jan-2011,30,36,33.0,-
21-Jan-2011,19,34,26.5,0.38
22-Jan-2011,14,25,19.5,-
23-Jan-2011,12,25,18.5,-
24-Jan-2011,6,24,15.0,-
25-Jan-2011,24,35,29.5,0.02
26-Jan-2011,25,34,29.5,0.57
27-Jan-2011,26,37,31.5,0.35
28-Jan-2011,23,35,29.0,-
29-Jan-2011,23,34,28.5,0.01
30-Jan-2011,24,39,31.5,-
31-Jan-2011,20,32,26.0,-
1-Feb-2011,25,33,29.0,0.07
2-Feb-2011,27,39,33.0,0.69
3-Feb-2011,24,34,29.0,-
4-Feb-2011,20,33,26.5,-
5-Feb-2011,22,43,32.5,0.23
6-Feb-2011,32,45,38.5,-
7-Feb-2011,29,40,34.5,0.09
8-Feb-2011,19,40,29.5,0.14
9-Feb-2011,16,29,22.5,-
10-Feb-2011,23,29,26.0,-
11-Feb-2011,20,36,28.0,-
12-Feb-2011,24,41,32.5,-
13-Feb-2011,24,42,33.0,-
14-Feb-2011,36,59,47.5,-
15-Feb-2011,27,38,32.5,-
16-Feb-2011,23,43,33.0,-
17-Feb-2011,40,55,47.5,-
18-Feb-2011,40,67,53.5,0.10
19-Feb-2011,23,54,38.5,-
20-Feb-2011,22,42,32.0,-
21-Feb-2011,25,38,31.5,0.19
22-Feb-2011,17,34,25.5,-
23-Feb-2011,22,43,32.5,-
24-Feb-2011,23,41,32.0,0.06
25-Feb-2011,34,54,44.0,1.26
26-Feb-2011,32,42,37.0,-
27-Feb-2011,39,53,46.0,-
28-Feb-2011,40,60,50.0,0.37
1-Mar-2011,33,49,41.0,-
2-Mar-2011,26,56,41.0,-
3-Mar-2011,20,33,26.5,-
4-Mar-2011,24,41,32.5,-
5-Mar-2011,41,53,47.0,-
6-Mar-2011,45,51,48.0,1.32
7-Mar-2011,34,51,42.5,0.07
8-Mar-2011,29,48,38.5,-
9-Mar-2011,31,44,37.5,-
10-Mar-2011,38,49,43.5,0.52
11-Mar-2011,41,55,48.0,0.65
12-Mar-2011,38,55,46.5,-
13-Mar-2011,39,53,46.0,-
14-Mar-2011,36,46,41.0,-
15-Mar-2011,31,45,38.0,-
16-Mar-2011,40,58,49.0,0.70
17-Mar-2011,45,62,53.5,-
18-Mar-2011,45,79,62.0,-
19-Mar-2011,39,61,50.0,-
20-Mar-2011,34,47,40.5,-
21-Mar-2011,37,47,42.0,0.33
22-Mar-2011,41,53,47.0,-
23-Mar-2011,33,43,38.0,0.70
24-Mar-2011,32,45,38.5,0.07
25-Mar-2011,29,43,36.0,-
26-Mar-2011,27,41,34.0,-
27-Mar-2011,29,46,37.5,-
28-Mar-2011,27,47,37.0,-
29-Mar-2011,32,51,41.5,-
30-Mar-2011,36,49,42.5,-
31-Mar-2011,37,44,40.5,0.18
1-Apr-2011,33,45,39.0,0.17
2-Apr-2011,38,57,47.5,-
3-Apr-2011,43,60,51.5,-
4-Apr-2011,44,55,49.5,0.03
5-Apr-2011,42,53,47.5,0.08
6-Apr-2011,37,56,46.5,0.06
7-Apr-2011,39,49,44.0,-
8-Apr-2011,39,50,44.5,-
9-Apr-2011,38,54,46.0,-
10-Apr-2011,41,53,47.0,-
11-Apr-2011,46,61,53.5,-
12-Apr-2011,47,68,57.5,0.61
13-Apr-2011,45,55,50.0,0.57
14-Apr-2011,49,69,59.0,-
15-Apr-2011,41,56,48.5,-
16-Apr-2011,41,57,49.0,1.25
17-Apr-2011,48,61,54.5,0.05
18-Apr-2011,48,63,55.5,-
19-Apr-2011,47,55,51.0,0.01
20-Apr-2011,46,61,53.5,-
21-Apr-2011,42,62,52.0,-
22-Apr-2011,39,52,45.5,-
23-Apr-2011,44,53,48.5,0.95
24-Apr-2011,51,74,62.5,0.40
25-Apr-2011,53,71,62.0,-
26-Apr-2011,53,69,61.0,-
27-Apr-2011,54,64,59.0,-
28-Apr-2011,55,64,59.5,0.11
29-Apr-2011,52,71,61.5,-
30-Apr-2011,50,66,58.0,-
1-May-2011,49,64,56.5,-
2-May-2011,49,59,54.0,-
3-May-2011,53,66,59.5,-
4-May-2011,48,64,56.0,0.58
5-May-2011,47,66,56.5,-
6-May-2011,47,67,57.0,-
7-May-2011,49,70,59.5,-
8-May-2011,52,74,63.0,-
9-May-2011,54,71,62.5,-
10-May-2011,53,74,63.5,-
11-May-2011,52,71,61.5,-
12-May-2011,51,68,59.5,-
13-May-2011,50,63,56.5,-
14-May-2011,55,64,59.5,-
15-May-2011,59,67,63.0,0.06
16-May-2011,57,62,59.5,0.02
17-May-2011,53,65,59.0,1.00
18-May-2011,60,72,66.0,0.82
19-May-2011,60,73,66.5,-
20-May-2011,56,65,60.5,0.04
21-May-2011,54,72,63.0,0.03
22-May-2011,54,57,55.5,-
23-May-2011,55,63,59.0,0.10
24-May-2011,61,82,71.5,-
25-May-2011,63,79,71.0,-
26-May-2011,61,72,66.5,-
27-May-2011,62,78,70.0,-
28-May-2011,64,77,70.5,-
29-May-2011,65,77,71.0,-
30-May-2011,66,86,76.0,0.56
31-May-2011,67,87,77.0,-
1-Jun-2011,67,85,76.0,-
2-Jun-2011,63,82,72.5,-
3-Jun-2011,58,78,68.0,-
4-Jun-2011,56,78,67.0,-
5-Jun-2011,56,67,61.5,-
6-Jun-2011,59,81,70.0,-
7-Jun-2011,63,89,76.0,-
8-Jun-2011,68,89,78.5,-
9-Jun-2011,68,93,80.5,0.44
10-Jun-2011,68,84,76.0,-
11-Jun-2011,61,69,65.0,0.30
12-Jun-2011,58,71,64.5,0.25
13-Jun-2011,61,76,68.5,0.05
14-Jun-2011,59,70,64.5,0.06
15-Jun-2011,56,84,70.0,-
16-Jun-2011,62,84,73.0,-
17-Jun-2011,65,79,72.0,0.93
18-Jun-2011,64,84,74.0,-
19-Jun-2011,67,83,75.0,-
20-Jun-2011,65,77,71.0,-
21-Jun-2011,68,80,74.0,-
22-Jun-2011,68,79,73.5,0.01
23-Jun-2011,67,73,70.0,0.01
24-Jun-2011,65,71,68.0,-
25-Jun-2011,66,79,72.5,-
26-Jun-2011,68,83,75.5,-
27-Jun-2011,66,82,74.0,-
28-Jun-2011,72,83,77.5,-
29-Jun-2011,72,87,79.5,0.04
30-Jun-2011,67,85,76.0,-
1-Jul-2011,63,85,74.0,-
2-Jul-2011,67,86,76.5,-
3-Jul-2011,70,78,74.0,0.23
4-Jul-2011,69,86,77.5,-
5-Jul-2011,70,91,80.5,-
6-Jul-2011,71,86,78.5,-
7-Jul-2011,73,92,82.5,0.05
8-Jul-2011,70,82,76.0,0.62
9-Jul-2011,70,91,80.5,-
10-Jul-2011,68,82,75.0,-
11-Jul-2011,72,88,80.0,-
12-Jul-2011,77,98,87.5,-
13-Jul-2011,70,89,79.5,0.06
14-Jul-2011,66,85,75.5,-
15-Jul-2011,68,86,77.0,-
16-Jul-2011,69,89,79.0,-
17-Jul-2011,70,87,78.5,-
18-Jul-2011,72,94,83.0,-
19-Jul-2011,75,93,84.0,-
20-Jul-2011,73,85,79.0,-
21-Jul-2011,73,88,80.5,-
22-Jul-2011,76,103,89.5,-
23-Jul-2011,79,102,90.5,-
24-Jul-2011,76,93,84.5,0.21
25-Jul-2011,70,81,75.5,0.09
26-Jul-2011,70,88,79.0,0.17
27-Jul-2011,69,87,78.0,-
28-Jul-2011,69,86,77.5,-
29-Jul-2011,71,83,77.0,1.28
30-Jul-2011,75,93,84.0,-
31-Jul-2011,71,89,80.0,-
1-Aug-2011,72,88,80.0,0.01
2-Aug-2011,74,92,83.0,-
3-Aug-2011,68,84,76.0,0.60
4-Aug-2011,69,81,75.0,-
5-Aug-2011,69,82,75.5,-
6-Aug-2011,72,82,77.0,-
7-Aug-2011,74,87,80.5,0.17
8-Aug-2011,74,92,83.0,-
9-Aug-2011,73,83,78.0,0.44
10-Aug-2011,71,88,79.5,-
11-Aug-2011,70,84,77.0,-
12-Aug-2011,65,85,75.0,-
13-Aug-2011,67,84,75.5,0.51
14-Aug-2011,68,75,71.5,4.00
15-Aug-2011,70,80,75.0,-
16-Aug-2011,66,80,73.0,0.01
17-Aug-2011,67,83,75.0,-
18-Aug-2011,69,80,74.5,0.45
19-Aug-2011,67,82,74.5,0.40
20-Aug-2011,66,82,74.0,-
21-Aug-2011,71,83,77.0,2.06
22-Aug-2011,68,81,74.5,-
23-Aug-2011,62,80,71.0,-
24-Aug-2011,64,79,71.5,-
25-Aug-2011,71,80,75.5,0.25
26-Aug-2011,70,83,76.5,-
27-Aug-2011,74,78,76.0,2.94
28-Aug-2011,65,76,70.5,2.52
29-Aug-2011,61,78,69.5,-
30-Aug-2011,62,82,72.0,-
31-Aug-2011,64,82,73.0,-
1-Sep-2011,67,80,73.5,-
2-Sep-2011,62,75,68.5,-
3-Sep-2011,65,78,71.5,-
4-Sep-2011,70,80,75.0,-
5-Sep-2011,71,79,75.0,-
6-Sep-2011,62,73,67.5,1.19
7-Sep-2011,63,72,67.5,0.80
8-Sep-2011,64,81,72.5,0.40
9-Sep-2011,67,86,76.5,-
10-Sep-2011,68,81,74.5,-
11-Sep-2011,63,70,66.5,-
12-Sep-2011,66,78,72.0,-
13-Sep-2011,66,80,73.0,-
14-Sep-2011,68,82,75.0,-
15-Sep-2011,54,80,67.0,0.01
16-Sep-2011,50,68,59.0,-
17-Sep-2011,53,66,59.5,-
18-Sep-2011,53,69,61.0,-
19-Sep-2011,52,67,59.5,-
20-Sep-2011,62,68,65.0,0.03
21-Sep-2011,62,73,67.5,-
22-Sep-2011,69,79,74.0,0.01
23-Sep-2011,69,71,70.0,1.07
24-Sep-2011,69,76,72.5,-
25-Sep-2011,69,83,76.0,-
26-Sep-2011,67,78,72.5,-
27-Sep-2011,68,77,72.5,-
28-Sep-2011,69,75,72.0,0.04
29-Sep-2011,63,75,69.0,0.44
30-Sep-2011,59,76,67.5,0.19
1-Oct-2011,52,70,61.0,0.20
2-Oct-2011,51,65,58.0,-
3-Oct-2011,48,58,53.0,0.04
4-Oct-2011,49,65,57.0,-
5-Oct-2011,52,74,63.0,-
6-Oct-2011,47,69,58.0,-
7-Oct-2011,48,66,57.0,-
8-Oct-2011,54,76,65.0,-
9-Oct-2011,57,87,72.0,-
10-Oct-2011,60,84,72.0,-
11-Oct-2011,62,76,69.0,-
12-Oct-2011,60,64,62.0,0.01
13-Oct-2011,61,68,64.5,0.06
14-Oct-2011,59,71,65.0,0.32
15-Oct-2011,56,69,62.5,-
16-Oct-2011,57,68,62.5,-
17-Oct-2011,58,68,63.0,-
18-Oct-2011,54,69,61.5,-
19-Oct-2011,59,69,64.0,1.11
20-Oct-2011,55,69,62.0,0.01
21-Oct-2011,52,59,55.5,-
22-Oct-2011,48,62,55.0,-
23-Oct-2011,51,60,55.5,-
24-Oct-2011,47,62,54.5,-
25-Oct-2011,51,64,57.5,-
26-Oct-2011,47,62,54.5,-
27-Oct-2011,39,58,48.5,0.69
28-Oct-2011,37,51,44.0,-
29-Oct-2011,33,45,39.0,1.75
30-Oct-2011,34,48,41.0,0.01
31-Oct-2011,32,54,43.0,-
1-Nov-2011,42,56,49.0,-
2-Nov-2011,38,56,47.0,-
3-Nov-2011,44,59,51.5,-
4-Nov-2011,41,54,47.5,-
5-Nov-2011,35,51,43.0,-
6-Nov-2011,33,55,44.0,-
7-Nov-2011,42,60,51.0,-
8-Nov-2011,47,69,58.0,-
9-Nov-2011,43,63,53.0,-
10-Nov-2011,50,67,58.5,-
11-Nov-2011,42,51,46.5,-
12-Nov-2011,40,58,49.0,-
13-Nov-2011,43,60,51.5,-
14-Nov-2011,51,65,58.0,-
15-Nov-2011,54,65,59.5,0.01
16-Nov-2011,54,57,55.5,0.58
17-Nov-2011,40,55,47.5,0.04
18-Nov-2011,36,47,41.5,-
19-Nov-2011,38,52,45.0,-
20-Nov-2011,48,63,55.5,-
21-Nov-2011,47,56,51.5,0.18
22-Nov-2011,47,51,49.0,1.52
23-Nov-2011,40,59,49.5,0.72
24-Nov-2011,37,53,45.0,-
25-Nov-2011,41,62,51.5,-
26-Nov-2011,43,64,53.5,-
27-Nov-2011,37,60,48.5,-
28-Nov-2011,52,65,58.5,-
29-Nov-2011,52,63,57.5,0.15
30-Nov-2011,44,53,48.5,0.01
1-Dec-2011,38,51,44.5,-
2-Dec-2011,34,53,43.5,-
3-Dec-2011,34,48,41.0,-
4-Dec-2011,35,54,44.5,-
5-Dec-2011,46,54,50.0,0.01
6-Dec-2011,53,57,55.0,0.14
7-Dec-2011,43,57,50.0,0.85
8-Dec-2011,36,46,41.0,0.19
9-Dec-2011,33,52,42.5,-
10-Dec-2011,32,49,40.5,-
11-Dec-2011,28,40,34.0,-
12-Dec-2011,30,44,37.0,-
13-Dec-2011,29,48,38.5,-
14-Dec-2011,34,52,43.0,-
15-Dec-2011,47,57,52.0,-
16-Dec-2011,41,58,49.5,-
17-Dec-2011,30,45,37.5,-
18-Dec-2011,23,31,27.0,-
19-Dec-2011,21,48,34.5,-
20-Dec-2011,40,48,44.0,0.02
21-Dec-2011,40,59,49.5,0.12
22-Dec-2011,48,60,54.0,0.06
23-Dec-2011,36,51,43.5,0.83
24-Dec-2011,27,37,32.0,-
25-Dec-2011,26,48,37.0,-
26-Dec-2011,34,48,41.0,-
27-Dec-2011,32,57,44.5,0.70
28-Dec-2011,32,50,41.0,-
29-Dec-2011,25,38,31.5,-
30-Dec-2011,36,50,43.0,0.01
31-Dec-2011,47,56,51.5,-
1-Jan-2012,38,50,44.0,0.07
2-Jan-2012,33,50,41.5,-
3-Jan-2012,16,33,24.5,-
4-Jan-2012,13,29,21.0,-
5-Jan-2012,26,42,34.0,-
6-Jan-2012,32,54,43.0,0.01
7-Jan-2012,36,61,48.5,-
8-Jan-2012,33,48,40.5,-
9-Jan-2012,29,39,34.0,-
10-Jan-2012,30,48,39.0,-
11-Jan-2012,31,47,39.0,0.10
12-Jan-2012,42,49,45.5,0.80
13-Jan-2012,29,50,39.5,-
14-Jan-2012,27,34,30.5,-
15-Jan-2012,16,28,22.0,-
16-Jan-2012,14,39,26.5,-
17-Jan-2012,37,50,43.5,0.29
18-Jan-2012,24,53,38.5,-
19-Jan-2012,18,38,28.0,-
20-Jan-2012,27,37,32.0,-
21-Jan-2012,24,29,26.5,0.17
22-Jan-2012,18,34,26.0,-
23-Jan-2012,33,51,42.0,0.22
24-Jan-2012,40,54,47.0,-
25-Jan-2012,38,46,42.0,-
26-Jan-2012,34,43,38.5,0.18
27-Jan-2012,44,58,51.0,0.29
28-Jan-2012,37,46,41.5,-
29-Jan-2012,33,44,38.5,-
30-Jan-2012,34,41,37.5,-
31-Jan-2012,37,57,47.0,-
1-Feb-2012,42,64,53.0,0.03
2-Feb-2012,36,51,43.5,-
3-Feb-2012,30,45,37.5,-
4-Feb-2012,35,47,41.0,-
5-Feb-2012,33,41,37.0,-
6-Feb-2012,29,51,40.0,-
7-Feb-2012,34,51,42.5,-
8-Feb-2012,31,39,35.0,0.04
9-Feb-2012,31,47,39.0,-
10-Feb-2012,30,45,37.5,-
11-Feb-2012,33,38,35.5,0.12
12-Feb-2012,21,35,28.0,-
13-Feb-2012,29,44,36.5,-
14-Feb-2012,35,45,40.0,0.03
15-Feb-2012,39,46,42.5,0.01
16-Feb-2012,31,44,37.5,0.12
17-Feb-2012,37,53,45.0,0.04
18-Feb-2012,36,46,41.0,0.01
19-Feb-2012,33,46,39.5,-
20-Feb-2012,32,48,40.0,-
21-Feb-2012,26,47,36.5,-
22-Feb-2012,36,57,46.5,-
23-Feb-2012,42,61,51.5,-
24-Feb-2012,38,46,42.0,0.37
25-Feb-2012,35,47,41.0,-
26-Feb-2012,30,45,37.5,-
27-Feb-2012,31,51,41.0,-
28-Feb-2012,38,51,44.5,-
29-Feb-2012,34,45,39.5,0.49
1-Mar-2012,36,42,39.0,0.11
2-Mar-2012,33,43,38.0,0.15
3-Mar-2012,43,56,49.5,0.14
4-Mar-2012,36,47,41.5,-
5-Mar-2012,29,46,37.5,-
6-Mar-2012,26,41,33.5,-
7-Mar-2012,37,53,45.0,-
8-Mar-2012,46,59,52.5,-
9-Mar-2012,37,53,45.0,0.07
10-Mar-2012,29,43,36.0,-
11-Mar-2012,36,57,46.5,-
12-Mar-2012,40,62,51.0,-
13-Mar-2012,49,61,55.0,0.08
14-Mar-2012,48,72,60.0,-
15-Mar-2012,43,47,45.0,-
16-Mar-2012,43,49,46.0,0.02
17-Mar-2012,40,59,49.5,-
18-Mar-2012,45,55,50.0,-
19-Mar-2012,45,64,54.5,-
20-Mar-2012,51,69,60.0,-
21-Mar-2012,53,65,59.0,-
22-Mar-2012,53,66,59.5,-
23-Mar-2012,53,77,65.0,-
24-Mar-2012,48,61,54.5,0.10
25-Mar-2012,45,51,48.0,0.06
26-Mar-2012,35,57,46.0,-
27-Mar-2012,31,53,42.0,-
28-Mar-2012,42,64,53.0,0.01
29-Mar-2012,44,63,53.5,-
30-Mar-2012,39,54,46.5,0.02
31-Mar-2012,39,44,41.5,0.39
1-Apr-2012,42,52,47.0,0.29
2-Apr-2012,40,58,49.0,0.11
3-Apr-2012,40,66,53.0,-
4-Apr-2012,47,70,58.5,-
5-Apr-2012,42,59,50.5,-
6-Apr-2012,37,59,48.0,-
7-Apr-2012,40,62,51.0,-
8-Apr-2012,46,68,57.0,-
9-Apr-2012,50,65,57.5,-
10-Apr-2012,43,62,52.5,-
11-Apr-2012,43,54,48.5,-
12-Apr-2012,44,62,53.0,-
13-Apr-2012,44,62,53.0,-
14-Apr-2012,45,66,55.5,-
15-Apr-2012,55,76,65.5,-
16-Apr-2012,54,77,65.5,-
17-Apr-2012,57,81,69.0,-
18-Apr-2012,50,63,56.5,-
19-Apr-2012,49,63,56.0,-
20-Apr-2012,49,66,57.5,-
21-Apr-2012,54,66,60.0,0.12
22-Apr-2012,49,57,53.0,2.13
23-Apr-2012,43,58,50.5,0.26
24-Apr-2012,42,63,52.5,-
25-Apr-2012,40,59,49.5,-
26-Apr-2012,41,60,50.5,0.05
27-Apr-2012,42,57,49.5,0.01
28-Apr-2012,40,58,49.0,-
29-Apr-2012,44,65,54.5,-
30-Apr-2012,43,57,50.0,-
1-May-2012,52,70,61.0,0.94
2-May-2012,51,54,52.5,0.03
3-May-2012,51,57,54.0,0.65
4-May-2012,53,69,61.0,0.28
5-May-2012,55,59,57.0,0.07
6-May-2012,50,62,56.0,-
7-May-2012,50,60,55.0,-
8-May-2012,55,64,59.5,0.07
9-May-2012,58,63,60.5,1.41
10-May-2012,51,67,59.0,0.23
11-May-2012,50,71,60.5,-
12-May-2012,50,75,62.5,-
13-May-2012,58,75,66.5,-
14-May-2012,61,70,65.5,-
15-May-2012,60,63,61.5,0.56
16-May-2012,59,72,65.5,0.06
17-May-2012,55,73,64.0,-
18-May-2012,51,69,60.0,-
19-May-2012,52,78,65.0,-
20-May-2012,55,78,66.5,-
21-May-2012,60,64,62.0,1.75
22-May-2012,61,69,65.0,0.16
23-May-2012,59,74,66.5,0.01
24-May-2012,62,68,65.0,0.46
25-May-2012,63,74,68.5,0.09
26-May-2012,63,81,72.0,0.19
27-May-2012,65,78,71.5,0.13
28-May-2012,68,85,76.5,-
29-May-2012,71,84,77.5,0.01
30-May-2012,66,77,71.5,-
31-May-2012,65,82,73.5,-
1-Jun-2012,62,72,67.0,0.39
2-Jun-2012,62,76,69.0,0.87
3-Jun-2012,58,78,68.0,-
4-Jun-2012,54,65,59.5,0.22
5-Jun-2012,51,67,59.0,-
6-Jun-2012,53,71,62.0,0.04
7-Jun-2012,59,76,67.5,-
8-Jun-2012,59,78,68.5,-
9-Jun-2012,63,80,71.5,-
10-Jun-2012,65,80,72.5,0.08
11-Jun-2012,64,75,69.5,-
12-Jun-2012,64,73,68.5,1.03
13-Jun-2012,65,69,67.0,1.42
14-Jun-2012,61,73,67.0,-
15-Jun-2012,59,80,69.5,-
16-Jun-2012,59,79,69.0,-
17-Jun-2012,57,70,63.5,-
18-Jun-2012,55,68,61.5,-
19-Jun-2012,62,74,68.0,-
20-Jun-2012,69,94,81.5,-
21-Jun-2012,79,97,88.0,-
22-Jun-2012,72,94,83.0,0.42
23-Jun-2012,69,87,78.0,0.42
24-Jun-2012,65,82,73.5,0.03
25-Jun-2012,63,75,69.0,1.93
26-Jun-2012,57,76,66.5,-
27-Jun-2012,65,84,74.5,-
28-Jun-2012,68,86,77.0,-
29-Jun-2012,71,92,81.5,0.06
30-Jun-2012,75,93,84.0,-
1-Jul-2012,70,91,80.5,-
2-Jul-2012,72,89,80.5,-
3-Jul-2012,70,88,79.0,-
4-Jul-2012,72,89,80.5,0.04
5-Jul-2012,77,95,86.0,-
6-Jul-2012,72,86,79.0,-
7-Jul-2012,75,99,87.0,0.07
8-Jul-2012,75,89,82.0,-
9-Jul-2012,71,84,77.5,-
10-Jul-2012,70,83,76.5,-
11-Jul-2012,70,83,76.5,-
12-Jul-2012,68,84,76.0,-
13-Jul-2012,71,85,78.0,-
14-Jul-2012,75,87,81.0,-
15-Jul-2012,73,87,80.0,0.19
16-Jul-2012,72,93,82.5,-
17-Jul-2012,76,91,83.5,-
18-Jul-2012,74,96,85.0,0.21
19-Jul-2012,72,77,74.5,-
20-Jul-2012,62,72,67.0,0.45
21-Jul-2012,62,76,69.0,-
22-Jul-2012,65,80,72.5,-
23-Jul-2012,69,84,76.5,0.05
24-Jul-2012,74,95,84.5,-
25-Jul-2012,67,87,77.0,-
26-Jul-2012,72,88,80.0,0.49
27-Jul-2012,73,90,81.5,-
28-Jul-2012,69,81,75.0,0.07
29-Jul-2012,69,79,74.0,-
30-Jul-2012,67,79,73.0,-
31-Jul-2012,70,79,74.5,-
1-Aug-2012,72,82,77.0,0.07
2-Aug-2012,71,86,78.5,-
3-Aug-2012,74,87,80.5,-
4-Aug-2012,74,88,81.0,-
5-Aug-2012,73,87,80.0,0.18
6-Aug-2012,73,90,81.5,0.23
7-Aug-2012,68,81,74.5,-
8-Aug-2012,71,86,78.5,-
9-Aug-2012,73,86,79.5,-
10-Aug-2012,70,82,76.0,2.12
11-Aug-2012,75,85,80.0,-
12-Aug-2012,74,85,79.5,-
13-Aug-2012,71,87,79.0,-
14-Aug-2012,70,81,75.5,-
15-Aug-2012,69,83,76.0,0.44
16-Aug-2012,69,88,78.5,-
17-Aug-2012,69,85,77.0,0.01
18-Aug-2012,64,81,72.5,0.37
19-Aug-2012,63,77,70.0,-
20-Aug-2012,66,77,71.5,-
21-Aug-2012,69,81,75.0,-
22-Aug-2012,67,82,74.5,-
23-Aug-2012,68,82,75.0,-
24-Aug-2012,68,85,76.5,-
25-Aug-2012,70,84,77.0,-
26-Aug-2012,67,81,74.0,-
27-Aug-2012,69,82,75.5,0.52
28-Aug-2012,74,89,81.5,0.12
29-Aug-2012,67,79,73.0,-
30-Aug-2012,62,84,73.0,-
31-Aug-2012,65,90,77.5,-
1-Sep-2012,74,92,83.0,-
2-Sep-2012,71,81,76.0,-
3-Sep-2012,70,76,73.0,0.59
4-Sep-2012,71,80,75.5,0.63
5-Sep-2012,72,84,78.0,0.16
6-Sep-2012,69,80,74.5,-
7-Sep-2012,70,83,76.5,-
8-Sep-2012,66,83,74.5,0.28
9-Sep-2012,65,76,70.5,-
10-Sep-2012,59,75,67.0,-
11-Sep-2012,54,76,65.0,-
12-Sep-2012,60,77,68.5,-
13-Sep-2012,62,76,69.0,-
14-Sep-2012,63,77,70.0,-
15-Sep-2012,61,75,68.0,-
16-Sep-2012,58,75,66.5,-
17-Sep-2012,56,76,66.0,-
18-Sep-2012,68,78,73.0,1.57
19-Sep-2012,57,72,64.5,0.01
20-Sep-2012,54,71,62.5,-
21-Sep-2012,57,72,64.5,-
22-Sep-2012,56,76,66.0,0.29
23-Sep-2012,56,70,63.0,-
24-Sep-2012,52,69,60.5,-
25-Sep-2012,56,73,64.5,-
26-Sep-2012,65,75,70.0,0.03
27-Sep-2012,66,77,71.5,-
28-Sep-2012,62,74,68.0,0.43
29-Sep-2012,59,66,62.5,0.04
30-Sep-2012,57,70,63.5,-
1-Oct-2012,54,72,63.0,-
2-Oct-2012,63,71,67.0,0.33
3-Oct-2012,65,74,69.5,-
4-Oct-2012,67,75,71.0,0.41
5-Oct-2012,61,77,69.0,-
6-Oct-2012,55,76,65.5,-
7-Oct-2012,48,56,52.0,0.16
8-Oct-2012,45,56,50.5,-
9-Oct-2012,52,59,55.5,0.03
10-Oct-2012,54,68,61.0,0.22
11-Oct-2012,48,60,54.0,-
12-Oct-2012,43,60,51.5,-
13-Oct-2012,37,55,46.0,-
14-Oct-2012,55,72,63.5,-
15-Oct-2012,61,69,65.0,0.18
16-Oct-2012,48,61,54.5,-
17-Oct-2012,42,60,51.0,-
18-Oct-2012,45,66,55.5,0.02
19-Oct-2012,62,67,64.5,0.30
20-Oct-2012,55,70,62.5,-
21-Oct-2012,51,68,59.5,-
22-Oct-2012,51,69,60.0,-
23-Oct-2012,52,66,59.0,0.03
24-Oct-2012,57,62,59.5,-
25-Oct-2012,54,62,58.0,-
26-Oct-2012,57,71,64.0,-
27-Oct-2012,59,67,63.0,-
28-Oct-2012,53,60,56.5,-
29-Oct-2012,52,66,59.0,0.51
30-Oct-2012,48,59,53.5,0.04
31-Oct-2012,46,52,49.0,0.01
1-Nov-2012,45,52,48.5,-
2-Nov-2012,43,54,48.5,-
3-Nov-2012,41,52,46.5,-
4-Nov-2012,39,53,46.0,-
5-Nov-2012,36,47,41.5,-
6-Nov-2012,31,45,38.0,-
7-Nov-2012,32,41,36.5,0.91
8-Nov-2012,32,45,38.5,0.10
9-Nov-2012,35,53,44.0,-
10-Nov-2012,42,54,48.0,-
11-Nov-2012,41,60,50.5,-
12-Nov-2012,46,63,54.5,-
13-Nov-2012,40,58,49.0,0.08
14-Nov-2012,37,49,43.0,-
15-Nov-2012,36,45,40.5,-
16-Nov-2012,36,48,42.0,-
17-Nov-2012,36,53,44.5,-
18-Nov-2012,37,51,44.0,-
