State,year,week,ILITOTAL
Washington,2011,17,16
Arizona,2011,18,181
California,2011,18,734
Colorado,2011,18,151
Georgia,2011,18,446
Illinois,2011,18,479
New York,2011,18,153
Pennsylvania,2011,18,141
Texas,2011,18,662
Washington,2011,18,16
Arizona,2011,19,156
California,2011,19,672
Colorado,2011,19,113
Georgia,2011,19,488
Illinois,2011,19,575
New York,2011,19,164
Pennsylvania,2011,19,120
Texas,2011,19,730
Washington,2011,19,11
Arizona,2011,20,124
California,2011,20,700
Colorado,2011,20,118
Georgia,2011,20,491
Illinois,2011,20,392
New York,2011,20,57
Pennsylvania,2011,20,113
Texas,2011,20,574
Washington,2011,20,8
Arizona,2011,21,137
California,2011,21,583
Colorado,2011,21,112
Georgia,2011,21,373
Illinois,2011,21,381
New York,2011,21,99
Pennsylvania,2011,21,95
Texas,2011,21,459
Washington,2011,21,2
Arizona,2011,22,104
California,2011,22,581
Colorado,2011,22,88
Georgia,2011,22,414
Illinois,2011,22,516
New York,2011,22,88
Pennsylvania,2011,22,98
Texas,2011,22,487
Washington,2011,22,2
Arizona,2011,23,97
California,2011,23,588
Colorado,2011,23,84
Georgia,2011,23,300
Illinois,2011,23,392
New York,2011,23,8
Pennsylvania,2011,23,111
Texas,2011,23,391
Washington,2011,23,3
Arizona,2011,24,80
California,2011,24,461
Colorado,2011,24,70
Georgia,2011,24,249
Illinois,2011,24,311
New York,2011,24,5
Pennsylvania,2011,24,75
Texas,2011,24,434
Washington,2011,24,1
Arizona,2011,25,86
California,2011,25,436
Colorado,2011,25,55
Georgia,2011,25,214
Illinois,2011,25,307
New York,2011,25,7
Pennsylvania,2011,25,81
Texas,2011,25,378
Washington,2011,25,0
Arizona,2011,26,81
California,2011,26,426
Colorado,2011,26,45
Georgia,2011,26,168
Illinois,2011,26,379
New York,2011,26,7
Pennsylvania,2011,26,64
Texas,2011,26,323
Washington,2011,26,0
Arizona,2011,27,82
California,2011,27,343
Colorado,2011,27,64
Georgia,2011,27,222
Illinois,2011,27,372
New York,2011,27,2
Pennsylvania,2011,27,82
Texas,2011,27,333
Washington,2011,27,0
Arizona,2011,28,95
California,2011,28,383
Colorado,2011,28,56
Georgia,2011,28,173
Illinois,2011,28,244
New York,2011,28,3
Pennsylvania,2011,28,55
Texas,2011,28,384
Washington,2011,28,0
Arizona,2011,29,77
California,2011,29,327
Colorado,2011,29,75
Georgia,2011,29,154
Illinois,2011,29,335
New York,2011,29,7
Pennsylvania,2011,29,60
Texas,2011,29,260
Washington,2011,29,0
Arizona,2011,30,67
California,2011,30,303
Colorado,2011,30,70
Georgia,2011,30,181
Illinois,2011,30,356
New York,2011,30,7
Pennsylvania,2011,30,54
Texas,2011,30,298
Washington,2011,30,0
Arizona,2011,31,91
California,2011,31,91
Colorado,2011,31,93
Georgia,2011,31,186
Illinois,2011,31,351
New York,2011,31,8
Pennsylvania,2011,31,50
Texas,2011,31,317
Washington,2011,31,0
Arizona,2011,32,69
California,2011,32,295
Colorado,2011,32,69
Georgia,2011,32,241
Illinois,2011,32,316
New York,2011,32,6
Pennsylvania,2011,32,62
Texas,2011,32,302
Washington,2011,32,0
Arizona,2011,33,98
California,2011,33,284
Colorado,2011,33,77
Georgia,2011,33,284
Illinois,2011,33,370
New York,2011,33,7
Pennsylvania,2011,33,56
Texas,2011,33,372
Washington,2011,33,0
Arizona,2011,34,128
California,2011,34,350
Colorado,2011,34,78
Georgia,2011,34,406
Illinois,2011,34,398
New York,2011,34,6
Pennsylvania,2011,34,57
Texas,2011,34,388
Washington,2011,34,1
Arizona,2011,35,148
California,2011,35,376
Colorado,2011,35,119
Georgia,2011,35,389
Illinois,2011,35,431
New York,2011,35,10
Pennsylvania,2011,35,67
Texas,2011,35,550
Washington,2011,35,0
Arizona,2011,36,85
California,2011,36,322
Colorado,2011,36,99
Georgia,2011,36,435
Illinois,2011,36,448
New York,2011,36,8
Pennsylvania,2011,36,76
Texas,2011,36,557
Washington,2011,36,1
Arizona,2011,37,118
California,2011,37,420
Colorado,2011,37,121
Georgia,2011,37,467
Illinois,2011,37,439
New York,2011,37,9
Pennsylvania,2011,37,113
Texas,2011,37,591
Washington,2011,37,1
Arizona,2011,38,107
California,2011,38,445
Colorado,2011,38,124
Georgia,2011,38,453
Illinois,2011,38,541
New York,2011,38,22
Pennsylvania,2011,38,139
Texas,2011,38,568
Washington,2011,38,4
Arizona,2011,39,120
California,2011,39,474
Colorado,2011,39,131
Georgia,2011,39,563
Illinois,2011,39,512
New York,2011,39,24
Pennsylvania,2011,39,188
Texas,2011,39,510
Washington,2011,39,0
Arizona,2011,40,138
California,2011,40,568
Colorado,2011,40,153
Georgia,2011,40,578
Illinois,2011,40,886
New York,2011,40,79
Pennsylvania,2011,40,150
Texas,2011,40,772
Washington,2011,40,38
Arizona,2011,41,132
California,2011,41,703
Colorado,2011,41,117
Georgia,2011,41,559
Illinois,2011,41,794
New York,2011,41,81
Pennsylvania,2011,41,161
Texas,2011,41,692
Washington,2011,41,39
Arizona,2011,42,153
California,2011,42,801
Colorado,2011,42,123
Georgia,2011,42,485
Illinois,2011,42,755
New York,2011,42,62
Pennsylvania,2011,42,168
Texas,2011,42,792
Washington,2011,42,32
