State,year,week,Total Positives
Pennsylvania,2011,18,7
Texas,2011,18,2
Washington,2011,18,3
Arizona,2011,19,0
California,2011,19,1
Colorado,2011,19,3
Georgia,2011,19,3
Illinois,2011,19,0
New York,2011,19,2
Pennsylvania,2011,19,0
Texas,2011,19,0
Washington,2011,19,3
Arizona,2011,20,0
California,2011,20,2
Colorado,2011,20,4
Georgia,2011,20,1
Illinois,2011,20,0
New York,2011,20,1
Pennsylvania,2011,20,2
Texas,2011,20,0
Washington,2011,20,0
Arizona,2011,21,1
California,2011,21,0
Colorado,2011,21,0
Georgia,2011,21,0
Illinois,2011,21,0
New York,2011,21,2
Pennsylvania,2011,21,0
Texas,2011,21,0
Washington,2011,21,0
Arizona,2011,22,0
California,2011,22,1
Colorado,2011,22,2
Georgia,2011,22,1
Illinois,2011,22,0
New York,2011,22,0
Pennsylvania,2011,22,1
Texas,2011,22,2
Washington,2011,22,1
Arizona,2011,23,0
California,2011,23,0
Colorado,2011,23,0
Georgia,2011,23,1
Illinois,2011,23,0
New York,2011,23,0
Pennsylvania,2011,23,1
Texas,2011,23,0
Washington,2011,23,0
Arizona,2011,24,0
California,2011,24,0
Colorado,2011,24,0
Georgia,2011,24,1
Illinois,2011,24,0
New York,2011,24,0
Pennsylvania,2011,24,0
Texas,2011,24,0
Washington,2011,24,0
Arizona,2011,25,0
California,2011,25,0
Colorado,2011,25,0
Georgia,2011,25,0
Illinois,2011,25,0
New York,2011,25,1
Pennsylvania,2011,25,0
Texas,2011,25,0
Washington,2011,25,2
Arizona,2011,26,0
California,2011,26,0
Colorado,2011,26,0
Georgia,2011,26,1
Illinois,2011,26,0
New York,2011,26,0
Pennsylvania,2011,26,0
Texas,2011,26,0
Washington,2011,26,0
Arizona,2011,27,0
California,2011,27,0
Colorado,2011,27,0
Georgia,2011,27,1
Illinois,2011,27,0
New York,2011,27,0
Pennsylvania,2011,27,0
Texas,2011,27,1
Washington,2011,27,0
Arizona,2011,28,0
California,2011,28,0
Colorado,2011,28,0
Georgia,2011,28,1
Illinois,2011,28,0
New York,2011,28,1
Pennsylvania,2011,28,1
Texas,2011,28,0
Washington,2011,28,0
Arizona,2011,29,0
California,2011,29,0
Colorado,2011,29,0
Georgia,2011,29,5
Illinois,2011,29,0
New York,2011,29,2
Pennsylvania,2011,29,0
Texas,2011,29,0
Washington,2011,29,0
Arizona,2011,30,0
California,2011,30,0
Colorado,2011,30,0
Georgia,2011,30,2
Illinois,2011,30,0
New York,2011,30,1
Pennsylvania,2011,30,0
Texas,2011,30,0
Washington,2011,30,0
Arizona,2011,31,0
California,2011,31,2
Colorado,2011,31,0
Georgia,2011,31,1
Illinois,2011,31,0
New York,2011,31,0
Pennsylvania,2011,31,0
Texas,2011,31,0
Washington,2011,31,0
Arizona,2011,32,0
California,2011,32,1
Colorado,2011,32,0
Georgia,2011,32,2
Illinois,2011,32,0
New York,2011,32,1
Pennsylvania,2011,32,1
Texas,2011,32,1
Washington,2011,32,0
Arizona,2011,33,1
California,2011,33,1
Colorado,2011,33,0
Georgia,2011,33,1
Illinois,2011,33,0
New York,2011,33,0
Pennsylvania,2011,33,1
Texas,2011,33,0
Washington,2011,33,0
Arizona,2011,34,1
California,2011,34,0
Colorado,2011,34,0
Georgia,2011,34,1
Illinois,2011,34,0
New York,2011,34,0
Pennsylvania,2011,34,1
Texas,2011,34,0
Washington,2011,34,0
Arizona,2011,35,0
California,2011,35,0
Colorado,2011,35,0
Georgia,2011,35,1
Illinois,2011,35,0
New York,2011,35,0
Pennsylvania,2011,35,0
Texas,2011,35,0
Washington,2011,35,0
Arizona,2011,36,1
California,2011,36,0
Colorado,2011,36,0
Georgia,2011,36,0
Illinois,2011,36,0
New York,2011,36,0
Pennsylvania,2011,36,0
Texas,2011,36,0
Washington,2011,36,0
Arizona,2011,37,0
California,2011,37,0
Colorado,2011,37,0
Georgia,2011,37,4
Illinois,2011,37,0
New York,2011,37,0
Pennsylvania,2011,37,1
Texas,2011,37,1
Washington,2011,37,2
Arizona,2011,38,1
California,2011,38,0
Colorado,2011,38,0
Georgia,2011,38,4
Illinois,2011,38,0
New York,2011,38,1
Pennsylvania,2011,38,1
Texas,2011,38,0
Washington,2011,38,0
Arizona,2011,39,2
California,2011,39,0
Colorado,2011,39,1
Georgia,2011,39,5
Illinois,2011,39,0
New York,2011,39,0
Pennsylvania,2011,39,3
Texas,2011,39,0
Washington,2011,39,1
Arizona,2011,40,0
